Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_205957_conv_upd_dir_loss_aug_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_205957_conv_upd_dir_loss_aug_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_205957_conv_upd_dir_loss_aug_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=fixed_block_targets | method=convergence | users=3 | initial_total_latency=0.033133 | initial_avg_latency=0.011044 | initial_min_latency=0.006467 | initial_max_latency=0.015533
[UL Convergence Train] | phase=start | user=0 | mode=fixed_block_targets
[UL Convergence Train] | user=0 | block=0 | target_bits=200 | mode=fixed_block_targets
[UL Convergence Block] | user=0 | block=0 | budget_mode=target_bits | requested_bits=200
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=200
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/1000 | objective=-10.949533 | rate=10.949533 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/1000 | objective=-11.024040 | rate=11.024040 | power=29.897985 | r_p=0.000000 | r_c=0.000000 | r_s=0.010328 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/1000 | objective=-11.116274 | rate=11.116274 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.008629 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/1000 | objective=-11.197162 | rate=11.197162 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008556 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/1000 | objective=-11.279294 | rate=11.279294 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008664 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/1000 | objective=-11.362293 | rate=11.362293 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008765 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/1000 | objective=-11.445999 | rate=11.445999 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008858 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/1000 | objective=-11.530268 | rate=11.530268 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.008944 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/1000 | objective=-11.614990 | rate=11.614990 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009022 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/1000 | objective=-11.700104 | rate=11.700104 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.009094 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/1000 | objective=-11.785519 | rate=11.785519 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009159 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=12/1000 | objective=-11.871159 | rate=11.871159 | power=29.999929 | r_p=0.000000 | r_c=0.000000 | r_s=0.009218 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=13/1000 | objective=-11.956951 | rate=11.956951 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009271 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=14/1000 | objective=-12.042807 | rate=12.042807 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009320 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=15/1000 | objective=-12.128643 | rate=12.128643 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009365 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=16/1000 | objective=-12.214409 | rate=12.214409 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.009407 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=17/1000 | objective=-12.299964 | rate=12.299964 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009445 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=18/1000 | objective=-12.385254 | rate=12.385254 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009478 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=19/1000 | objective=-12.470160 | rate=12.470160 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009508 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=20/1000 | objective=-12.554623 | rate=12.554623 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009533 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=21/1000 | objective=-12.638483 | rate=12.638483 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009553 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=22/1000 | objective=-12.721661 | rate=12.721661 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009567 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=23/1000 | objective=-12.804067 | rate=12.804067 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009576 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=24/1000 | objective=-12.885574 | rate=12.885574 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009579 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=25/1000 | objective=-12.966110 | rate=12.966110 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009577 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=26/1000 | objective=-13.045583 | rate=13.045583 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009568 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=27/1000 | objective=-13.123889 | rate=13.123889 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.009554 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=28/1000 | objective=-13.200953 | rate=13.200953 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009534 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=29/1000 | objective=-13.276694 | rate=13.276694 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009509 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=30/1000 | objective=-13.351042 | rate=13.351042 | power=29.999929 | r_p=0.000000 | r_c=0.000000 | r_s=0.009478 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=31/1000 | objective=-13.423944 | rate=13.423944 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.009442 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=32/1000 | objective=-13.493607 | rate=13.493607 | power=29.989651 | r_p=0.000000 | r_c=0.000000 | r_s=0.009401 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=33/1000 | objective=-13.562241 | rate=13.562241 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008988 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=34/1000 | objective=-13.627672 | rate=13.627672 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008927 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=35/1000 | objective=-13.691586 | rate=13.691586 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.008866 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=36/1000 | objective=-13.753946 | rate=13.753946 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008802 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=37/1000 | objective=-13.814772 | rate=13.814772 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008734 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=38/1000 | objective=-13.874001 | rate=13.874001 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008663 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=39/1000 | objective=-13.931667 | rate=13.931667 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008590 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=40/1000 | objective=-13.987741 | rate=13.987741 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008513 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=41/1000 | objective=-14.042258 | rate=14.042258 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008434 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=42/1000 | objective=-14.095186 | rate=14.095186 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008351 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=43/1000 | objective=-14.146559 | rate=14.146559 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008267 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=44/1000 | objective=-14.196370 | rate=14.196370 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008179 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=45/1000 | objective=-14.244638 | rate=14.244638 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.008090 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=46/1000 | objective=-14.291397 | rate=14.291397 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.007999 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=47/1000 | objective=-14.336663 | rate=14.336663 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.007905 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=48/1000 | objective=-14.380439 | rate=14.380439 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.007810 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=49/1000 | objective=-14.422768 | rate=14.422768 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.007714 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=50/1000 | objective=-14.463675 | rate=14.463675 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.007616 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=51/1000 | objective=-14.503185 | rate=14.503185 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.007517 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=52/1000 | objective=-14.541330 | rate=14.541330 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.007417 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=53/1000 | objective=-14.578135 | rate=14.578135 | power=29.999929 | r_p=0.000000 | r_c=0.000000 | r_s=0.007317 | status=running
