[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=remaining_bits_weighted_sum_rate
    weight_strategy=remaining_bits | user_weights: u0=0.500, u1=0.750, u2=1.000
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=2.540177 | sum_rate=2.838984 | r_p=35.410381 | r_c=3.541038 | r_s=0.004114 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=2.800338 | sum_rate=3.131768 | r_p=35.216606 | r_c=53.301811 | r_s=0.004127 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=3.146894 | sum_rate=3.522094 | r_p=34.959572 | r_c=114.293322 | r_s=0.004158 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=3.517065 | sum_rate=3.938702 | r_p=34.686333 | r_c=173.843478 | r_s=0.004179 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=3.909524 | sum_rate=4.380938 | r_p=34.399101 | r_c=231.866802 | r_s=0.004202 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=4.322932 | sum_rate=4.847812 | r_p=34.098316 | r_c=288.283779 | r_s=0.004227 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=4.755642 | sum_rate=5.333889 | r_p=33.782162 | r_c=342.995123 | r_s=0.004242 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=5.204968 | sum_rate=5.837168 | r_p=33.453331 | r_c=395.944146 | r_s=0.004258 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=5.666202 | sum_rate=6.354112 | r_p=33.119602 | r_c=447.172254 | r_s=0.004279 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=6.134618 | sum_rate=6.880795 | r_p=32.785389 | r_c=496.732475 | r_s=0.004282 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=6.604102 | sum_rate=7.415163 | r_p=32.459656 | r_c=544.794616 | r_s=0.004293 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=7.067561 | sum_rate=7.949053 | r_p=32.150459 | r_c=591.583926 | r_s=0.004307 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=3 | updated_users=3 | objective=7.519012 | sum_rate=8.475268 | r_p=31.862057 | r_c=637.309117 | r_s=0.004319 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=65/500 | active_users=3 | updated_users=3 | objective=7.953180 | sum_rate=8.990511 | r_p=31.600090 | r_c=682.241702 | r_s=0.004329 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=70/500 | active_users=3 | updated_users=3 | objective=8.365685 | sum_rate=9.497752 | r_p=31.380093 | r_c=726.931234 | r_s=0.004321 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=75/500 | active_users=3 | updated_users=3 | objective=8.757233 | sum_rate=9.993067 | r_p=31.191223 | r_c=771.372318 | r_s=0.004317 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=80/500 | active_users=3 | updated_users=3 | objective=9.128203 | sum_rate=10.479827 | r_p=31.033693 | r_c=815.775087 | r_s=0.004310 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=85/500 | active_users=3 | updated_users=3 | objective=9.483667 | sum_rate=10.952612 | r_p=30.889036 | r_c=859.811883 | r_s=0.004320 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=90/500 | active_users=3 | updated_users=3 | objective=9.825328 | sum_rate=11.416017 | r_p=30.753452 | r_c=903.450149 | r_s=0.004323 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=95/500 | active_users=3 | updated_users=3 | objective=10.155725 | sum_rate=11.872972 | r_p=30.627808 | r_c=946.777190 | r_s=0.004323 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=100/500 | active_users=3 | updated_users=3 | objective=10.475558 | sum_rate=12.326557 | r_p=30.513037 | r_c=989.884318 | r_s=0.004316 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=105/500 | active_users=3 | updated_users=3 | objective=10.788481 | sum_rate=12.776486 | r_p=30.403158 | r_c=1032.638193 | r_s=0.004321 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=110/500 | active_users=3 | updated_users=3 | objective=11.096992 | sum_rate=13.230392 | r_p=30.302376 | r_c=1075.217121 | r_s=0.004313 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=115/500 | active_users=3 | updated_users=3 | objective=11.404848 | sum_rate=13.694073 | r_p=30.209932 | r_c=1117.652281 | r_s=0.004315 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=120/500 | active_users=3 | updated_users=3 | objective=11.714238 | sum_rate=14.160733 | r_p=30.119160 | r_c=1159.733130 | r_s=0.004316 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=125/500 | active_users=3 | updated_users=3 | objective=12.025354 | sum_rate=14.632113 | r_p=30.036144 | r_c=1201.719395 | r_s=0.004317 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=130/500 | active_users=3 | updated_users=3 | objective=12.339858 | sum_rate=15.107477 | r_p=29.955284 | r_c=1243.423238 | r_s=0.004318 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=135/500 | active_users=3 | updated_users=3 | objective=12.655359 | sum_rate=15.581298 | r_p=29.877291 | r_c=1284.888587 | r_s=0.004331 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=140/500 | active_users=3 | updated_users=3 | objective=12.971882 | sum_rate=16.049328 | r_p=29.796894 | r_c=1325.897114 | r_s=0.004339 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=145/500 | active_users=3 | updated_users=3 | objective=13.286793 | sum_rate=16.506016 | r_p=29.714336 | r_c=1366.444575 | r_s=0.004348 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=150/500 | active_users=3 | updated_users=3 | objective=13.601313 | sum_rate=16.943737 | r_p=29.618578 | r_c=1405.990038 | r_s=0.004367 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=155/500 | active_users=3 | updated_users=3 | objective=13.916086 | sum_rate=17.365173 | r_p=29.511154 | r_c=1444.533030 | r_s=0.004382 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=160/500 | active_users=3 | updated_users=3 | objective=14.231839 | sum_rate=17.775356 | r_p=29.395512 | r_c=1482.179053 | r_s=0.004408 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=165/500 | active_users=3 | updated_users=3 | objective=14.547119 | sum_rate=18.182581 | r_p=29.279846 | r_c=1519.315059 | r_s=0.004428 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=170/500 | active_users=3 | updated_users=3 | objective=14.859982 | sum_rate=18.584675 | r_p=29.163628 | r_c=1555.912505 | r_s=0.004425 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=175/500 | active_users=3 | updated_users=3 | objective=15.171074 | sum_rate=18.980827 | r_p=29.041367 | r_c=1591.666869 | r_s=0.004429 | status=running
