[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=blended_network_rate
    weight_strategy=remaining_bits | user_weights: u0=0.500, u1=0.750, u2=1.000
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=3.220011 | sum_rate=2.838984 | r_p=35.410381 | r_c=3.541038 | r_s=0.004114 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=3.552266 | sum_rate=3.132208 | r_p=35.216618 | r_c=53.301930 | r_s=0.004130 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=3.994612 | sum_rate=3.522567 | r_p=34.959564 | r_c=114.293550 | r_s=0.004157 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=4.467360 | sum_rate=3.939798 | r_p=34.687080 | r_c=173.847945 | r_s=0.004179 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=4.969333 | sum_rate=4.382916 | r_p=34.400993 | r_c=231.882321 | r_s=0.004201 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=5.498406 | sum_rate=4.850002 | r_p=34.101151 | r_c=288.314835 | r_s=0.004226 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=6.049797 | sum_rate=5.336515 | r_p=33.786205 | r_c=343.048841 | r_s=0.004244 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=6.621071 | sum_rate=5.840392 | r_p=33.457916 | r_c=396.017857 | r_s=0.004258 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=7.207368 | sum_rate=6.357513 | r_p=33.124748 | r_c=447.268720 | r_s=0.004279 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=7.804808 | sum_rate=6.884708 | r_p=32.791626 | r_c=496.862358 | r_s=0.004283 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=8.410480 | sum_rate=7.419987 | r_p=32.467857 | r_c=544.978590 | r_s=0.004291 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=9.014978 | sum_rate=7.954897 | r_p=32.158276 | r_c=591.786257 | r_s=0.004304 | status=running
