[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=unweighted_sum_rate
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=2.838984 | sum_rate=2.838984 | r_p=35.410381 | r_c=3.541038 | r_s=0.004114 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=3.132208 | sum_rate=3.132208 | r_p=35.216618 | r_c=53.301930 | r_s=0.004130 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=3.522567 | sum_rate=3.522567 | r_p=34.959564 | r_c=114.293550 | r_s=0.004157 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=3.939799 | sum_rate=3.939799 | r_p=34.687080 | r_c=173.847945 | r_s=0.004179 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=4.382916 | sum_rate=4.382916 | r_p=34.400993 | r_c=231.882321 | r_s=0.004201 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=4.850003 | sum_rate=4.850003 | r_p=34.101151 | r_c=288.314834 | r_s=0.004226 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=5.336514 | sum_rate=5.336514 | r_p=33.786209 | r_c=343.048937 | r_s=0.004244 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=5.840393 | sum_rate=5.840393 | r_p=33.457916 | r_c=396.017915 | r_s=0.004258 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=6.357515 | sum_rate=6.357515 | r_p=33.124744 | r_c=447.268725 | r_s=0.004279 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=6.884707 | sum_rate=6.884707 | r_p=32.791626 | r_c=496.862412 | r_s=0.004283 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=7.419989 | sum_rate=7.419989 | r_p=32.467857 | r_c=544.978645 | r_s=0.004291 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=7.954899 | sum_rate=7.954899 | r_p=32.158276 | r_c=591.786314 | r_s=0.004304 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=3 | updated_users=3 | objective=8.482308 | sum_rate=8.482308 | r_p=31.871042 | r_c=637.561063 | r_s=0.004317 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=65/500 | active_users=3 | updated_users=3 | objective=9.000204 | sum_rate=9.000204 | r_p=31.612999 | r_c=682.608127 | r_s=0.004325 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=70/500 | active_users=3 | updated_users=3 | objective=9.510349 | sum_rate=9.510349 | r_p=31.394077 | r_c=727.362876 | r_s=0.004317 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=75/500 | active_users=3 | updated_users=3 | objective=10.008762 | sum_rate=10.008762 | r_p=31.206539 | r_c=771.881564 | r_s=0.004312 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=80/500 | active_users=3 | updated_users=3 | objective=10.497643 | sum_rate=10.497643 | r_p=31.049580 | r_c=816.346937 | r_s=0.004315 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=85/500 | active_users=3 | updated_users=3 | objective=10.973053 | sum_rate=10.973053 | r_p=30.903603 | r_c=860.394916 | r_s=0.004319 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=90/500 | active_users=3 | updated_users=3 | objective=11.440748 | sum_rate=11.440748 | r_p=30.769444 | r_c=904.121109 | r_s=0.004317 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=95/500 | active_users=3 | updated_users=3 | objective=11.900288 | sum_rate=11.900288 | r_p=30.643219 | r_c=947.477267 | r_s=0.004317 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=100/500 | active_users=3 | updated_users=3 | objective=12.357078 | sum_rate=12.357078 | r_p=30.530827 | r_c=990.708997 | r_s=0.004312 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=105/500 | active_users=3 | updated_users=3 | objective=12.811474 | sum_rate=12.811474 | r_p=30.423294 | r_c=1033.596647 | r_s=0.004310 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=110/500 | active_users=3 | updated_users=3 | objective=13.269407 | sum_rate=13.269407 | r_p=30.324394 | r_c=1076.303535 | r_s=0.004310 | status=running
