[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=remaining_bits_weighted_sum_rate
    weight_strategy=remaining_bits | user_weights: u0=0.500, u1=0.750, u2=1.000
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=2.540222 | sum_rate=2.839302 | r_p=35.410248 | r_c=3.541025 | r_s=0.004105 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=2.800599 | sum_rate=3.133043 | r_p=35.215858 | r_c=53.300209 | r_s=0.004130 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=3.147601 | sum_rate=3.523171 | r_p=34.956661 | r_c=114.281072 | r_s=0.004160 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=3.518358 | sum_rate=3.939490 | r_p=34.680695 | r_c=173.805352 | r_s=0.004176 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=3.911634 | sum_rate=4.381610 | r_p=34.389759 | r_c=231.782766 | r_s=0.004203 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=4.325973 | sum_rate=4.846993 | r_p=34.084236 | r_c=288.124351 | r_s=0.004223 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=4.759464 | sum_rate=5.332127 | r_p=33.765121 | r_c=342.755920 | r_s=0.004238 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=5.209298 | sum_rate=5.835143 | r_p=33.434570 | r_c=395.626906 | r_s=0.004255 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=5.671345 | sum_rate=6.351879 | r_p=33.097420 | r_c=446.745068 | r_s=0.004269 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=6.140546 | sum_rate=6.877853 | r_p=32.758923 | r_c=496.164919 | r_s=0.004284 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=6.610019 | sum_rate=7.408148 | r_p=32.428360 | r_c=544.058515 | r_s=0.004291 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=7.072623 | sum_rate=7.939986 | r_p=32.117439 | r_c=590.715228 | r_s=0.004302 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=3 | updated_users=3 | objective=7.522338 | sum_rate=8.463466 | r_p=31.829037 | r_c=636.337253 | r_s=0.004315 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=65/500 | active_users=3 | updated_users=3 | objective=7.954328 | sum_rate=8.974960 | r_p=31.567230 | r_c=681.171285 | r_s=0.004328 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=70/500 | active_users=3 | updated_users=3 | objective=8.365816 | sum_rate=9.475313 | r_p=31.338589 | r_c=725.553027 | r_s=0.004321 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=75/500 | active_users=3 | updated_users=3 | objective=8.755029 | sum_rate=9.961308 | r_p=31.145000 | r_c=769.747175 | r_s=0.004323 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=80/500 | active_users=3 | updated_users=3 | objective=9.123763 | sum_rate=10.438707 | r_p=30.981293 | r_c=813.841383 | r_s=0.004321 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=85/500 | active_users=3 | updated_users=3 | objective=9.475578 | sum_rate=10.906821 | r_p=30.839500 | r_c=857.800446 | r_s=0.004323 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=90/500 | active_users=3 | updated_users=3 | objective=9.813262 | sum_rate=11.364393 | r_p=30.708294 | r_c=901.420734 | r_s=0.004328 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=95/500 | active_users=3 | updated_users=3 | objective=10.141023 | sum_rate=11.815889 | r_p=30.582655 | r_c=944.612401 | r_s=0.004323 | status=running
