[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=blended_network_rate
    weight_strategy=remaining_bits | user_weights: u0=0.500, u1=0.750, u2=1.000
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=3.222341 | sum_rate=2.841748 | r_p=35.418041 | r_c=3.541804 | r_s=0.004131 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=3.560209 | sum_rate=3.141444 | r_p=35.241455 | r_c=53.361143 | r_s=0.004131 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=4.003643 | sum_rate=3.533262 | r_p=34.989761 | r_c=114.461345 | r_s=0.004144 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=4.475258 | sum_rate=3.949583 | r_p=34.718647 | r_c=174.127802 | r_s=0.004165 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=4.976288 | sum_rate=4.391982 | r_p=34.434834 | r_c=232.287659 | r_s=0.004187 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=5.505079 | sum_rate=4.858994 | r_p=34.137150 | r_c=288.853552 | r_s=0.004211 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=6.057158 | sum_rate=5.346410 | r_p=33.825306 | r_c=343.741883 | r_s=0.004228 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=6.628111 | sum_rate=5.850083 | r_p=33.497887 | r_c=396.850582 | r_s=0.004247 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=7.214984 | sum_rate=6.367809 | r_p=33.164589 | r_c=448.228845 | r_s=0.004262 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=7.813051 | sum_rate=6.895645 | r_p=32.832798 | r_c=497.971205 | r_s=0.004269 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=8.419242 | sum_rate=7.431310 | r_p=32.507507 | r_c=546.190150 | r_s=0.004274 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=9.025253 | sum_rate=7.967535 | r_p=32.196026 | r_c=593.084231 | r_s=0.004287 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=3 | updated_users=3 | objective=9.625103 | sum_rate=8.499479 | r_p=31.910488 | r_c=639.008132 | r_s=0.004299 | status=running
