[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=unweighted_sum_rate
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=2.841790 | sum_rate=2.841790 | r_p=35.420082 | r_c=3.542008 | r_s=0.004133 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=3.142382 | sum_rate=3.142382 | r_p=35.247776 | r_c=53.376251 | r_s=0.004126 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=3.534445 | sum_rate=3.534445 | r_p=34.997662 | r_c=114.505368 | r_s=0.004144 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=3.950940 | sum_rate=3.950940 | r_p=34.729050 | r_c=174.213716 | r_s=0.004162 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=4.393512 | sum_rate=4.393512 | r_p=34.446087 | r_c=232.415308 | r_s=0.004185 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=4.860563 | sum_rate=4.860563 | r_p=34.148827 | r_c=289.022851 | r_s=0.004208 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=5.348204 | sum_rate=5.348204 | r_p=33.838142 | r_c=343.962411 | r_s=0.004226 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=5.852063 | sum_rate=5.852063 | r_p=33.511333 | r_c=397.120987 | r_s=0.004244 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=6.370499 | sum_rate=6.370499 | r_p=33.179039 | r_c=448.556666 | r_s=0.004262 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=6.898824 | sum_rate=6.898824 | r_p=32.847359 | r_c=498.346861 | r_s=0.004265 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=7.434929 | sum_rate=7.434929 | r_p=32.521763 | r_c=546.606276 | r_s=0.004274 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=7.971446 | sum_rate=7.971446 | r_p=32.209778 | r_c=593.534856 | r_s=0.004284 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=3 | updated_users=3 | objective=8.503958 | sum_rate=8.503958 | r_p=31.923782 | r_c=639.491756 | r_s=0.004297 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=65/500 | active_users=3 | updated_users=3 | objective=9.026609 | sum_rate=9.026609 | r_p=31.663139 | r_c=684.641943 | r_s=0.004301 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=70/500 | active_users=3 | updated_users=3 | objective=9.539572 | sum_rate=9.539572 | r_p=31.437878 | r_c=729.395327 | r_s=0.004295 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=75/500 | active_users=3 | updated_users=3 | objective=10.040041 | sum_rate=10.040041 | r_p=31.248779 | r_c=774.005052 | r_s=0.004290 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=80/500 | active_users=3 | updated_users=3 | objective=10.531515 | sum_rate=10.531515 | r_p=31.089609 | r_c=818.537159 | r_s=0.004293 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=85/500 | active_users=3 | updated_users=3 | objective=11.010919 | sum_rate=11.010919 | r_p=30.942812 | r_c=862.680181 | r_s=0.004293 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=90/500 | active_users=3 | updated_users=3 | objective=11.482264 | sum_rate=11.482264 | r_p=30.806679 | r_c=906.462604 | r_s=0.004300 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=95/500 | active_users=3 | updated_users=3 | objective=11.944467 | sum_rate=11.944467 | r_p=30.681742 | r_c=949.967603 | r_s=0.004298 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=100/500 | active_users=3 | updated_users=3 | objective=12.405430 | sum_rate=12.405430 | r_p=30.573473 | r_c=993.451112 | r_s=0.004293 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=105/500 | active_users=3 | updated_users=3 | objective=12.866509 | sum_rate=12.866509 | r_p=30.473473 | r_c=1036.723555 | r_s=0.004284 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=110/500 | active_users=3 | updated_users=3 | objective=13.331328 | sum_rate=13.331328 | r_p=30.380949 | r_c=1079.810765 | r_s=0.004287 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=115/500 | active_users=3 | updated_users=3 | objective=13.800745 | sum_rate=13.800745 | r_p=30.293329 | r_c=1122.659334 | r_s=0.004278 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=120/500 | active_users=3 | updated_users=3 | objective=14.269604 | sum_rate=14.269604 | r_p=30.208796 | r_c=1165.230442 | r_s=0.004276 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=125/500 | active_users=3 | updated_users=3 | objective=14.747949 | sum_rate=14.747949 | r_p=30.134853 | r_c=1207.850092 | r_s=0.004277 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=130/500 | active_users=3 | updated_users=3 | objective=15.225327 | sum_rate=15.225327 | r_p=30.057394 | r_c=1249.987642 | r_s=0.004275 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=135/500 | active_users=3 | updated_users=3 | objective=15.694245 | sum_rate=15.694245 | r_p=29.982124 | r_c=1291.872175 | r_s=0.004278 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=140/500 | active_users=3 | updated_users=3 | objective=16.150986 | sum_rate=16.150986 | r_p=29.906010 | r_c=1333.379996 | r_s=0.004283 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=145/500 | active_users=3 | updated_users=3 | objective=16.591152 | sum_rate=16.591152 | r_p=29.823843 | r_c=1374.263941 | r_s=0.004291 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=150/500 | active_users=3 | updated_users=3 | objective=17.011717 | sum_rate=17.011717 | r_p=29.731647 | r_c=1414.298470 | r_s=0.004301 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=155/500 | active_users=3 | updated_users=3 | objective=17.421780 | sum_rate=17.421780 | r_p=29.632607 | r_c=1453.580548 | r_s=0.004318 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=160/500 | active_users=3 | updated_users=3 | objective=17.825706 | sum_rate=17.825706 | r_p=29.527670 | r_c=1492.120872 | r_s=0.004338 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=165/500 | active_users=3 | updated_users=3 | objective=18.221478 | sum_rate=18.221478 | r_p=29.413427 | r_c=1529.706277 | r_s=0.004344 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=170/500 | active_users=3 | updated_users=3 | objective=18.618334 | sum_rate=18.618334 | r_p=29.303268 | r_c=1567.007940 | r_s=0.004367 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=175/500 | active_users=3 | updated_users=3 | objective=19.009972 | sum_rate=19.009972 | r_p=29.186806 | r_c=1603.476320 | r_s=0.004378 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=180/500 | active_users=3 | updated_users=3 | objective=19.397285 | sum_rate=19.397285 | r_p=29.065361 | r_c=1639.149884 | r_s=0.004379 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=185/500 | active_users=3 | updated_users=3 | objective=19.776169 | sum_rate=19.776169 | r_p=28.941776 | r_c=1674.170567 | r_s=0.004379 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=190/500 | active_users=3 | updated_users=3 | objective=20.152061 | sum_rate=20.152061 | r_p=28.813585 | r_c=1708.377762 | r_s=0.004378 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=195/500 | active_users=3 | updated_users=3 | objective=20.524422 | sum_rate=20.524422 | r_p=28.674900 | r_c=1741.387547 | r_s=0.004356 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=200/500 | active_users=3 | updated_users=3 | objective=20.891941 | sum_rate=20.891941 | r_p=28.530207 | r_c=1773.423589 | r_s=0.004409 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=205/500 | active_users=3 | updated_users=3 | objective=21.256464 | sum_rate=21.256464 | r_p=28.383926 | r_c=1804.738005 | r_s=0.004424 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=210/500 | active_users=3 | updated_users=3 | objective=21.612469 | sum_rate=21.612469 | r_p=28.231543 | r_c=1835.029700 | r_s=0.004431 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=215/500 | active_users=3 | updated_users=3 | objective=21.961067 | sum_rate=21.961067 | r_p=28.078930 | r_c=1864.661039 | r_s=0.004448 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=220/500 | active_users=3 | updated_users=3 | objective=22.298136 | sum_rate=22.298136 | r_p=27.920336 | r_c=1893.240594 | r_s=0.004442 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=225/500 | active_users=3 | updated_users=3 | objective=22.625275 | sum_rate=22.625275 | r_p=27.760464 | r_c=1921.065911 | r_s=0.004486 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=230/500 | active_users=3 | updated_users=3 | objective=22.942383 | sum_rate=22.942383 | r_p=27.597969 | r_c=1948.037076 | r_s=0.004473 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=235/500 | active_users=3 | updated_users=3 | objective=23.250359 | sum_rate=23.250359 | r_p=27.436546 | r_c=1974.413029 | r_s=0.004480 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=240/500 | active_users=3 | updated_users=3 | objective=23.548618 | sum_rate=23.548618 | r_p=27.278053 | r_c=2000.341448 | r_s=0.004502 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=245/500 | active_users=3 | updated_users=3 | objective=23.834345 | sum_rate=23.834345 | r_p=27.126314 | r_c=2026.129019 | r_s=0.004514 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=250/500 | active_users=3 | updated_users=3 | objective=24.105579 | sum_rate=24.105579 | r_p=26.983440 | r_c=2051.976792 | r_s=0.004526 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=255/500 | active_users=3 | updated_users=3 | objective=24.365322 | sum_rate=24.365322 | r_p=26.856022 | r_c=2078.451353 | r_s=0.004526 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=260/500 | active_users=3 | updated_users=3 | objective=24.614086 | sum_rate=24.614086 | r_p=26.738747 | r_c=2105.213697 | r_s=0.004543 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=265/500 | active_users=3 | updated_users=3 | objective=24.857063 | sum_rate=24.857063 | r_p=26.632908 | r_c=2132.429507 | r_s=0.004562 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=270/500 | active_users=3 | updated_users=3 | objective=25.092800 | sum_rate=25.092800 | r_p=26.537426 | r_c=2160.071616 | r_s=0.004572 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=275/500 | active_users=3 | updated_users=3 | objective=25.315872 | sum_rate=25.315872 | r_p=26.444809 | r_c=2187.572967 | r_s=0.004570 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=280/500 | active_users=3 | updated_users=3 | objective=25.532585 | sum_rate=25.532585 | r_p=26.360817 | r_c=2215.435781 | r_s=0.004600 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=285/500 | active_users=3 | updated_users=3 | objective=25.737000 | sum_rate=25.737000 | r_p=26.281599 | r_c=2243.376232 | r_s=0.004607 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=290/500 | active_users=3 | updated_users=3 | objective=25.933605 | sum_rate=25.933605 | r_p=26.208643 | r_c=2271.549719 | r_s=0.004622 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=295/500 | active_users=3 | updated_users=3 | objective=26.121786 | sum_rate=26.121786 | r_p=26.141262 | r_c=2299.929848 | r_s=0.004634 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=300/500 | active_users=3 | updated_users=3 | objective=26.302437 | sum_rate=26.302437 | r_p=26.077419 | r_c=2328.365001 | r_s=0.004653 | status=running
