[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=remaining_bits_weighted_sum_rate
    weight_strategy=remaining_bits | user_weights: u0=0.500, u1=0.750, u2=1.000
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=3.995895 | sum_rate=4.203303 | r_p=34.073460 | r_c=3.407346 | r_s=1.092036 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=16.294901 | sum_rate=16.263166 | r_p=33.009350 | r_c=46.814700 | r_s=0.360741 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=20.118166 | sum_rate=21.139475 | r_p=29.075443 | r_c=87.122239 | r_s=0.294150 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=21.827858 | sum_rate=23.107508 | r_p=28.152308 | r_c=124.554848 | r_s=0.105894 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=22.253204 | sum_rate=23.404812 | r_p=28.682390 | r_c=167.816939 | r_s=0.079634 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=22.415970 | sum_rate=24.117165 | r_p=26.482586 | r_c=192.153062 | r_s=0.103413 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=23.326519 | sum_rate=25.850969 | r_p=23.193306 | r_c=196.565970 | r_s=0.095165 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=24.623196 | sum_rate=26.940895 | r_p=24.034281 | r_c=232.411729 | r_s=0.083011 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=24.396833 | sum_rate=27.414726 | r_p=22.171263 | r_c=229.646631 | r_s=0.104448 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=25.948971 | sum_rate=29.338367 | r_p=21.734089 | r_c=234.084710 | r_s=0.099984 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=26.128178 | sum_rate=29.471951 | r_p=21.416044 | r_c=255.755469 | r_s=0.106801 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=26.494959 | sum_rate=29.948803 | r_p=21.383224 | r_c=269.117454 | r_s=0.144601 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=3 | updated_users=3 | objective=26.524750 | sum_rate=30.076145 | r_p=21.650948 | r_c=281.900912 | r_s=0.143639 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=65/500 | active_users=3 | updated_users=3 | objective=26.648916 | sum_rate=30.125263 | r_p=21.296589 | r_c=305.235349 | r_s=0.063401 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=70/500 | active_users=3 | updated_users=3 | objective=26.660240 | sum_rate=30.220165 | r_p=21.530926 | r_c=318.501434 | r_s=0.178491 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=75/500 | active_users=3 | updated_users=3 | objective=26.736120 | sum_rate=30.239378 | r_p=21.286041 | r_c=340.641458 | r_s=0.147495 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=80/500 | active_users=3 | updated_users=3 | objective=26.697914 | sum_rate=30.232721 | r_p=21.426165 | r_c=362.800931 | r_s=0.167274 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=85/500 | active_users=3 | updated_users=3 | objective=26.703476 | sum_rate=30.232006 | r_p=21.407272 | r_c=385.463815 | r_s=0.203615 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=90/500 | active_users=3 | updated_users=3 | objective=26.714991 | sum_rate=30.241945 | r_p=21.392120 | r_c=408.043355 | r_s=0.382417 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=95/500 | active_users=3 | updated_users=3 | objective=26.720339 | sum_rate=30.253754 | r_p=21.399977 | r_c=431.108397 | r_s=0.297179 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=100/500 | active_users=3 | updated_users=3 | objective=26.721386 | sum_rate=30.253296 | r_p=21.394753 | r_c=453.874285 | r_s=0.205392 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=105/500 | active_users=3 | updated_users=3 | objective=26.730618 | sum_rate=30.256124 | r_p=21.364243 | r_c=476.094233 | r_s=0.284097 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=110/500 | active_users=3 | updated_users=3 | objective=26.721008 | sum_rate=30.258535 | r_p=21.409714 | r_c=499.984524 | r_s=0.267231 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=115/500 | active_users=3 | updated_users=3 | objective=26.728525 | sum_rate=30.250515 | r_p=21.361851 | r_c=521.722138 | r_s=0.452081 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=120/500 | active_users=3 | updated_users=3 | objective=26.722740 | sum_rate=30.259344 | r_p=21.405430 | r_c=545.653115 | r_s=0.322597 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=125/500 | active_users=3 | updated_users=3 | objective=26.732439 | sum_rate=30.253424 | r_p=21.352463 | r_c=567.134306 | r_s=0.442999 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=130/500 | active_users=3 | updated_users=3 | objective=26.729290 | sum_rate=30.263493 | r_p=21.387541 | r_c=590.916272 | r_s=0.147439 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=135/500 | active_users=3 | updated_users=3 | objective=26.736301 | sum_rate=30.263844 | r_p=21.359192 | r_c=612.953201 | r_s=0.325581 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=140/500 | active_users=3 | updated_users=3 | objective=26.735767 | sum_rate=30.263041 | r_p=21.359650 | r_c=635.787899 | r_s=0.225817 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=145/500 | active_users=3 | updated_users=3 | objective=26.734135 | sum_rate=30.263111 | r_p=21.366686 | r_c=658.814010 | r_s=0.446404 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=150/500 | active_users=3 | updated_users=3 | objective=26.741152 | sum_rate=30.269131 | r_p=21.350216 | r_c=681.107491 | r_s=0.236867 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=155/500 | active_users=3 | updated_users=3 | objective=26.738705 | sum_rate=30.266499 | r_p=21.354895 | r_c=704.060855 | r_s=0.413984 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=160/500 | active_users=3 | updated_users=3 | objective=26.738697 | sum_rate=30.266142 | r_p=21.354239 | r_c=726.835488 | r_s=0.447589 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=165/500 | active_users=3 | updated_users=3 | objective=26.741772 | sum_rate=30.266865 | r_p=21.342928 | r_c=749.236072 | r_s=0.393649 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=170/500 | active_users=3 | updated_users=3 | objective=26.735636 | sum_rate=30.256824 | r_p=21.347389 | r_c=772.178051 | r_s=0.492622 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=175/500 | active_users=3 | updated_users=3 | objective=26.737267 | sum_rate=30.259464 | r_p=21.346090 | r_c=794.911223 | r_s=0.459220 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=180/500 | active_users=3 | updated_users=3 | objective=26.740360 | sum_rate=30.261963 | r_p=21.338297 | r_c=817.392317 | r_s=0.325438 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=185/500 | active_users=3 | updated_users=3 | objective=26.739014 | sum_rate=30.258194 | r_p=21.336187 | r_c=840.078948 | r_s=0.527330 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=190/500 | active_users=3 | updated_users=3 | objective=26.741411 | sum_rate=30.265110 | r_p=21.340694 | r_c=863.024836 | r_s=0.215939 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=195/500 | active_users=3 | updated_users=3 | objective=26.741329 | sum_rate=30.263748 | r_p=21.338243 | r_c=885.688116 | r_s=0.385659 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=200/500 | active_users=3 | updated_users=3 | objective=26.744825 | sum_rate=30.265535 | r_p=21.327271 | r_c=907.983010 | r_s=0.578709 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=205/500 | active_users=3 | updated_users=3 | objective=26.739975 | sum_rate=30.257835 | r_p=21.330706 | r_c=930.881736 | r_s=0.714794 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=210/500 | active_users=3 | updated_users=3 | objective=26.745434 | sum_rate=30.266800 | r_p=21.327436 | r_c=953.485579 | r_s=0.594730 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=215/500 | active_users=3 | updated_users=3 | objective=26.734028 | sum_rate=30.248835 | r_p=21.335329 | r_c=976.588044 | r_s=1.180662 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=220/500 | active_users=3 | updated_users=3 | objective=26.733738 | sum_rate=30.244116 | r_p=21.326723 | r_c=998.935419 | r_s=1.083127 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=225/500 | active_users=3 | updated_users=3 | objective=26.735332 | sum_rate=30.246000 | r_p=21.322479 | r_c=1021.469249 | r_s=0.221502 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=230/500 | active_users=3 | updated_users=3 | objective=26.738489 | sum_rate=30.250988 | r_p=21.321341 | r_c=1044.147493 | r_s=1.359902 | status=running
