[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=blended_network_rate
    weight_strategy=remaining_bits | user_weights: u0=0.500, u1=0.750, u2=1.000
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=4.825964 | sum_rate=4.223211 | r_p=34.052139 | r_c=3.405214 | r_s=1.088715 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=19.669689 | sum_rate=17.118736 | r_p=32.395939 | r_c=45.965773 | r_s=0.384943 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=24.527885 | sum_rate=21.471031 | r_p=28.834072 | r_c=85.289310 | r_s=0.254699 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=26.659569 | sum_rate=23.341240 | r_p=28.406158 | r_c=124.443640 | r_s=0.138978 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=27.058764 | sum_rate=23.691656 | r_p=28.301201 | r_c=164.319634 | r_s=0.101568 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=28.917187 | sum_rate=25.462463 | r_p=23.557398 | r_c=168.653374 | r_s=0.125669 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=30.584663 | sum_rate=26.919260 | r_p=23.375935 | r_c=194.226647 | r_s=0.081717 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=31.170666 | sum_rate=27.449722 | r_p=22.733938 | r_c=215.970002 | r_s=0.069426 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=32.471516 | sum_rate=28.685440 | r_p=22.605436 | r_c=206.401000 | r_s=0.079243 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=33.367413 | sum_rate=29.444614 | r_p=21.237976 | r_c=232.800286 | r_s=0.083361 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=33.850189 | sum_rate=29.887760 | r_p=21.509659 | r_c=243.338796 | r_s=0.094755 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=33.998562 | sum_rate=30.032433 | r_p=21.853354 | r_c=255.572491 | r_s=0.119878 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=3 | updated_users=3 | objective=34.098370 | sum_rate=30.095007 | r_p=21.042727 | r_c=284.608782 | r_s=0.110561 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=65/500 | active_users=3 | updated_users=3 | objective=34.161682 | sum_rate=30.173407 | r_p=21.681652 | r_c=297.771469 | r_s=0.130371 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=70/500 | active_users=3 | updated_users=3 | objective=34.212551 | sum_rate=30.208416 | r_p=21.362652 | r_c=316.325669 | r_s=0.130767 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=75/500 | active_users=3 | updated_users=3 | objective=34.234158 | sum_rate=30.228746 | r_p=21.393118 | r_c=339.612005 | r_s=0.150890 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=80/500 | active_users=3 | updated_users=3 | objective=34.251377 | sum_rate=30.242451 | r_p=21.343527 | r_c=361.767877 | r_s=0.129957 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=85/500 | active_users=3 | updated_users=3 | objective=34.256062 | sum_rate=30.250935 | r_p=21.467627 | r_c=386.762536 | r_s=0.116491 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=90/500 | active_users=3 | updated_users=3 | objective=34.262985 | sum_rate=30.255766 | r_p=21.423708 | r_c=408.916322 | r_s=0.105519 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=95/500 | active_users=3 | updated_users=3 | objective=34.261978 | sum_rate=30.250847 | r_p=21.306110 | r_c=429.458697 | r_s=0.164951 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=100/500 | active_users=3 | updated_users=3 | objective=34.270927 | sum_rate=30.262241 | r_p=21.399874 | r_c=454.260613 | r_s=0.216836 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=105/500 | active_users=3 | updated_users=3 | objective=34.267326 | sum_rate=30.258778 | r_p=21.398113 | r_c=477.075135 | r_s=0.223607 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=110/500 | active_users=3 | updated_users=3 | objective=34.261459 | sum_rate=30.253414 | r_p=21.401384 | r_c=500.043334 | r_s=0.298913 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=115/500 | active_users=3 | updated_users=3 | objective=34.267899 | sum_rate=30.258728 | r_p=21.382202 | r_c=522.436128 | r_s=0.236483 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=120/500 | active_users=3 | updated_users=3 | objective=34.272209 | sum_rate=30.261875 | r_p=21.357294 | r_c=544.666641 | r_s=0.159699 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=125/500 | active_users=3 | updated_users=3 | objective=34.271744 | sum_rate=30.261719 | r_p=21.365681 | r_c=567.703898 | r_s=0.313732 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=130/500 | active_users=3 | updated_users=3 | objective=34.272564 | sum_rate=30.261806 | r_p=21.345480 | r_c=589.978170 | r_s=0.447698 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=135/500 | active_users=3 | updated_users=3 | objective=34.274578 | sum_rate=30.264318 | r_p=21.365353 | r_c=613.347436 | r_s=0.332487 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=140/500 | active_users=3 | updated_users=3 | objective=34.273636 | sum_rate=30.262957 | r_p=21.351011 | r_c=635.736960 | r_s=0.204153 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=145/500 | active_users=3 | updated_users=3 | objective=34.274288 | sum_rate=30.263515 | r_p=21.349438 | r_c=658.491552 | r_s=0.335923 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=150/500 | active_users=3 | updated_users=3 | objective=34.280418 | sum_rate=30.269423 | r_p=21.355865 | r_c=681.487753 | r_s=0.169352 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=155/500 | active_users=3 | updated_users=3 | objective=34.281250 | sum_rate=30.269619 | r_p=21.338482 | r_c=703.714398 | r_s=0.366484 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=160/500 | active_users=3 | updated_users=3 | objective=34.275051 | sum_rate=30.263969 | r_p=21.341883 | r_c=726.609629 | r_s=0.404267 | status=running
