[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=unweighted_sum_rate
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=4.223210 | sum_rate=4.223210 | r_p=34.052139 | r_c=3.405214 | r_s=1.088715 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=17.120033 | sum_rate=17.120033 | r_p=32.392540 | r_c=45.961638 | r_s=0.385028 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=21.410183 | sum_rate=21.410183 | r_p=28.870041 | r_c=85.401405 | r_s=0.254975 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=23.303215 | sum_rate=23.303215 | r_p=28.387539 | r_c=124.343924 | r_s=0.106398 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=23.794121 | sum_rate=23.794121 | r_p=28.077896 | r_c=162.946801 | r_s=0.100336 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=25.611891 | sum_rate=25.611891 | r_p=22.813236 | r_c=162.302739 | r_s=0.113158 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=27.127068 | sum_rate=27.127068 | r_p=23.383936 | r_c=193.053682 | r_s=0.090345 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=27.654325 | sum_rate=27.654325 | r_p=21.714958 | r_c=204.691970 | r_s=0.094212 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=29.468731 | sum_rate=29.468731 | r_p=22.109388 | r_c=201.017648 | r_s=0.082952 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=29.643799 | sum_rate=29.643799 | r_p=21.706255 | r_c=222.746698 | r_s=0.136519 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=29.857449 | sum_rate=29.857449 | r_p=21.286253 | r_c=244.050501 | r_s=0.109803 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=30.074657 | sum_rate=30.074657 | r_p=21.835857 | r_c=254.044525 | r_s=0.104919 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=3 | updated_users=3 | objective=30.135868 | sum_rate=30.135868 | r_p=21.047459 | r_c=281.564885 | r_s=0.119187 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=65/500 | active_users=3 | updated_users=3 | objective=30.180868 | sum_rate=30.180868 | r_p=21.663206 | r_c=298.503758 | r_s=0.141160 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=70/500 | active_users=3 | updated_users=3 | objective=30.210508 | sum_rate=30.210508 | r_p=21.331783 | r_c=316.742969 | r_s=0.144132 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=75/500 | active_users=3 | updated_users=3 | objective=30.236250 | sum_rate=30.236250 | r_p=21.481401 | r_c=341.923154 | r_s=0.155594 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=80/500 | active_users=3 | updated_users=3 | objective=30.247990 | sum_rate=30.247990 | r_p=21.278591 | r_c=361.527561 | r_s=0.120937 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=85/500 | active_users=3 | updated_users=3 | objective=30.260292 | sum_rate=30.260292 | r_p=21.449162 | r_c=387.325824 | r_s=0.223102 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=90/500 | active_users=3 | updated_users=3 | objective=30.258505 | sum_rate=30.258505 | r_p=21.419588 | r_c=409.714315 | r_s=0.202948 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=95/500 | active_users=3 | updated_users=3 | objective=30.255215 | sum_rate=30.255215 | r_p=21.358799 | r_c=431.370468 | r_s=0.236563 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=100/500 | active_users=3 | updated_users=3 | objective=30.264069 | sum_rate=30.264069 | r_p=21.345589 | r_c=453.961796 | r_s=0.234881 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=105/500 | active_users=3 | updated_users=3 | objective=30.261053 | sum_rate=30.261053 | r_p=21.401478 | r_c=477.999823 | r_s=0.335550 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=110/500 | active_users=3 | updated_users=3 | objective=30.252121 | sum_rate=30.252121 | r_p=21.360170 | r_c=499.917372 | r_s=0.356228 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=115/500 | active_users=3 | updated_users=3 | objective=30.252899 | sum_rate=30.252899 | r_p=21.390091 | r_c=523.470734 | r_s=0.415436 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=120/500 | active_users=3 | updated_users=3 | objective=30.247091 | sum_rate=30.247091 | r_p=21.369028 | r_c=545.780534 | r_s=0.717319 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=125/500 | active_users=3 | updated_users=3 | objective=30.237164 | sum_rate=30.237164 | r_p=21.359493 | r_c=568.356832 | r_s=0.069878 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=130/500 | active_users=3 | updated_users=3 | objective=30.253597 | sum_rate=30.253597 | r_p=21.362782 | r_c=591.258300 | r_s=0.566301 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=135/500 | active_users=3 | updated_users=3 | objective=30.256903 | sum_rate=30.256903 | r_p=21.353403 | r_c=613.801529 | r_s=0.272188 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=140/500 | active_users=3 | updated_users=3 | objective=30.251553 | sum_rate=30.251553 | r_p=21.362484 | r_c=636.868106 | r_s=0.710049 | status=running
