[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=remaining_bits_weighted_sum_rate
    weight_strategy=remaining_bits | user_weights: u0=0.500, u1=0.750, u2=1.000
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=3.813401 | sum_rate=3.983636 | r_p=34.195877 | r_c=3.419588 | r_s=1.086403 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=17.764235 | sum_rate=17.595741 | r_p=33.555046 | r_c=48.014280 | r_s=0.381705 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=20.138729 | sum_rate=20.107937 | r_p=33.355080 | r_c=103.498947 | r_s=0.257530 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=20.313515 | sum_rate=20.301155 | r_p=33.341148 | r_c=159.048779 | r_s=0.178694 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=20.374117 | sum_rate=20.362082 | r_p=33.338615 | r_c=214.612942 | r_s=0.136768 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=20.414495 | sum_rate=20.407125 | r_p=33.338341 | r_c=270.184582 | r_s=0.105525 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=20.435387 | sum_rate=20.431234 | r_p=33.335697 | r_c=325.729937 | r_s=0.146332 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=20.441160 | sum_rate=20.436892 | r_p=33.335384 | r_c=381.289551 | r_s=0.094343 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=20.446686 | sum_rate=20.443470 | r_p=33.334888 | r_c=436.844809 | r_s=0.106604 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=20.448437 | sum_rate=20.444740 | r_p=33.334908 | r_c=492.405656 | r_s=0.129585 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=20.449209 | sum_rate=20.445824 | r_p=33.335495 | r_c=547.976139 | r_s=0.094238 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=20.450642 | sum_rate=20.447567 | r_p=33.335155 | r_c=603.532047 | r_s=0.113898 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=3 | updated_users=3 | objective=20.452238 | sum_rate=20.450144 | r_p=33.334972 | r_c=659.089597 | r_s=0.132458 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=65/500 | active_users=3 | updated_users=3 | objective=20.453548 | sum_rate=20.452349 | r_p=33.334465 | r_c=714.639216 | r_s=0.114660 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=70/500 | active_users=3 | updated_users=3 | objective=20.453487 | sum_rate=20.452080 | r_p=33.334282 | r_c=770.194323 | r_s=0.122120 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=75/500 | active_users=3 | updated_users=3 | objective=20.453217 | sum_rate=20.451527 | r_p=33.334564 | r_c=825.760136 | r_s=0.103381 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=80/500 | active_users=3 | updated_users=3 | objective=20.453775 | sum_rate=20.452404 | r_p=33.334236 | r_c=881.310799 | r_s=0.093702 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=85/500 | active_users=3 | updated_users=3 | objective=20.453636 | sum_rate=20.452166 | r_p=33.334377 | r_c=936.873453 | r_s=0.110435 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=90/500 | active_users=3 | updated_users=3 | objective=20.454330 | sum_rate=20.453342 | r_p=33.333981 | r_c=992.420362 | r_s=0.108285 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=95/500 | active_users=3 | updated_users=3 | objective=20.454342 | sum_rate=20.453424 | r_p=33.334129 | r_c=1047.983516 | r_s=0.100571 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=100/500 | active_users=3 | updated_users=3 | objective=20.453869 | sum_rate=20.452457 | r_p=33.334087 | r_c=1103.540639 | r_s=0.096728 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=105/500 | active_users=3 | updated_users=3 | objective=20.453920 | sum_rate=20.452490 | r_p=33.333881 | r_c=1159.091703 | r_s=0.138001 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=110/500 | active_users=3 | updated_users=3 | objective=20.454271 | sum_rate=20.453178 | r_p=33.333988 | r_c=1214.653291 | r_s=0.089591 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=115/500 | active_users=3 | updated_users=3 | objective=20.454546 | sum_rate=20.453657 | r_p=33.333836 | r_c=1270.205254 | r_s=0.069396 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=120/500 | active_users=3 | updated_users=3 | objective=20.454052 | sum_rate=20.452736 | r_p=33.333969 | r_c=1325.767972 | r_s=0.087265 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=125/500 | active_users=3 | updated_users=3 | objective=20.454670 | sum_rate=20.453993 | r_p=33.334057 | r_c=1381.329234 | r_s=0.096779 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=130/500 | active_users=3 | updated_users=3 | objective=20.454834 | sum_rate=20.454250 | r_p=33.333920 | r_c=1436.881115 | r_s=0.069639 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=135/500 | active_users=3 | updated_users=3 | objective=20.454802 | sum_rate=20.454182 | r_p=33.333927 | r_c=1492.439079 | r_s=0.082601 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=140/500 | active_users=3 | updated_users=3 | objective=20.454821 | sum_rate=20.454170 | r_p=33.333839 | r_c=1547.992444 | r_s=0.136191 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=145/500 | active_users=3 | updated_users=3 | objective=20.454777 | sum_rate=20.454126 | r_p=33.333923 | r_c=1603.553669 | r_s=0.114699 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=150/500 | active_users=3 | updated_users=3 | objective=20.454878 | sum_rate=20.454245 | r_p=33.333771 | r_c=1659.103433 | r_s=0.096076 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=155/500 | active_users=3 | updated_users=3 | objective=20.455275 | sum_rate=20.454969 | r_p=33.333645 | r_c=1714.653945 | r_s=0.081243 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=160/500 | active_users=3 | updated_users=3 | objective=20.455048 | sum_rate=20.454487 | r_p=33.333584 | r_c=1770.207547 | r_s=0.121892 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=165/500 | active_users=3 | updated_users=3 | objective=20.454773 | sum_rate=20.454121 | r_p=33.333920 | r_c=1825.782743 | r_s=0.134372 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=170/500 | active_users=3 | updated_users=3 | objective=20.454855 | sum_rate=20.454323 | r_p=33.334015 | r_c=1881.345766 | r_s=0.236227 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=175/500 | active_users=3 | updated_users=3 | objective=20.454674 | sum_rate=20.453945 | r_p=33.333958 | r_c=1936.900155 | r_s=0.093806 | status=running
