[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=blended_network_rate
    weight_strategy=remaining_bits | user_weights: u0=0.500, u1=0.750, u2=1.000
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=4.417579 | sum_rate=3.873471 | r_p=34.524044 | r_c=3.452404 | r_s=1.093773 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=16.763948 | sum_rate=14.569628 | r_p=32.999481 | r_c=46.576691 | r_s=0.341164 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=24.246859 | sum_rate=21.235519 | r_p=28.537167 | r_c=84.970333 | r_s=0.349408 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=26.751842 | sum_rate=23.432816 | r_p=28.057158 | r_c=123.235345 | r_s=0.144983 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=27.198212 | sum_rate=23.799950 | r_p=28.679352 | r_c=166.978985 | r_s=0.184328 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=28.033907 | sum_rate=24.632729 | r_p=25.434566 | r_c=183.524840 | r_s=0.140461 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=30.338390 | sum_rate=26.690639 | r_p=23.799597 | r_c=200.160005 | r_s=0.109610 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=30.702990 | sum_rate=27.039654 | r_p=22.822342 | r_c=219.094887 | r_s=0.174414 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=30.870865 | sum_rate=27.185833 | r_p=22.797497 | r_c=245.000109 | r_s=0.181888 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=31.316999 | sum_rate=27.579964 | r_p=22.635313 | r_c=268.883016 | r_s=0.139972 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=32.339386 | sum_rate=28.577671 | r_p=22.942919 | r_c=249.828134 | r_s=0.215368 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=33.356098 | sum_rate=29.471363 | r_p=22.344538 | r_c=264.395783 | r_s=0.272064 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=3 | updated_users=3 | objective=33.692505 | sum_rate=29.771294 | r_p=22.266367 | r_c=283.016989 | r_s=0.283423 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=65/500 | active_users=3 | updated_users=3 | objective=34.046871 | sum_rate=30.061695 | r_p=21.433800 | r_c=305.568061 | r_s=0.271890 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=70/500 | active_users=3 | updated_users=3 | objective=34.145733 | sum_rate=30.145851 | r_p=21.301918 | r_c=324.411188 | r_s=0.576518 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=75/500 | active_users=3 | updated_users=3 | objective=34.168961 | sum_rate=30.179306 | r_p=21.685444 | r_c=346.745458 | r_s=0.199893 | status=running
