[DL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.305000 | initial_avg_latency=0.101667 | initial_min_latency=0.069867 | initial_max_latency=0.135667
[DL Convergence Block] | block=0 | active_users=3 | remaining_bits=6000 | objective=unweighted_sum_rate
[DL Convergence] | phase=optimize | block=0 | epoch=1/500 | active_users=3 | updated_users=3 | objective=4.322776 | sum_rate=4.322776 | r_p=34.700127 | r_c=3.470013 | r_s=1.085769 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=5/500 | active_users=3 | updated_users=3 | objective=17.149868 | sum_rate=17.149868 | r_p=33.492729 | r_c=47.073650 | r_s=0.329538 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=10/500 | active_users=3 | updated_users=3 | objective=20.975563 | sum_rate=20.975563 | r_p=30.919373 | r_c=94.645604 | r_s=0.400635 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=15/500 | active_users=3 | updated_users=3 | objective=23.135717 | sum_rate=23.135717 | r_p=27.779484 | r_c=125.941233 | r_s=0.167119 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=20/500 | active_users=3 | updated_users=3 | objective=23.807030 | sum_rate=23.807030 | r_p=28.210842 | r_c=167.214609 | r_s=0.164221 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=25/500 | active_users=3 | updated_users=3 | objective=23.898861 | sum_rate=23.898861 | r_p=27.509541 | r_c=201.774426 | r_s=0.183414 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=30/500 | active_users=3 | updated_users=3 | objective=24.103090 | sum_rate=24.103090 | r_p=27.564192 | r_c=239.879322 | r_s=0.107557 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=35/500 | active_users=3 | updated_users=3 | objective=24.889399 | sum_rate=24.889399 | r_p=25.995169 | r_c=261.935897 | r_s=0.107782 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=40/500 | active_users=3 | updated_users=3 | objective=26.844479 | sum_rate=26.844479 | r_p=23.274487 | r_c=262.534462 | r_s=0.183939 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=45/500 | active_users=3 | updated_users=3 | objective=26.927732 | sum_rate=26.927732 | r_p=22.897274 | r_c=285.164685 | r_s=0.176263 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=50/500 | active_users=3 | updated_users=3 | objective=27.231838 | sum_rate=27.231838 | r_p=22.839134 | r_c=310.620598 | r_s=0.107311 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=55/500 | active_users=3 | updated_users=3 | objective=27.507549 | sum_rate=27.507549 | r_p=22.629005 | r_c=333.667580 | r_s=0.195195 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=60/500 | active_users=3 | updated_users=3 | objective=27.643820 | sum_rate=27.643820 | r_p=22.763672 | r_c=361.262839 | r_s=0.159513 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=65/500 | active_users=3 | updated_users=3 | objective=27.669834 | sum_rate=27.669834 | r_p=22.327240 | r_c=379.503057 | r_s=0.153999 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=70/500 | active_users=3 | updated_users=3 | objective=27.777599 | sum_rate=27.777599 | r_p=22.500496 | r_c=407.676980 | r_s=0.186621 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=75/500 | active_users=3 | updated_users=3 | objective=27.784342 | sum_rate=27.784342 | r_p=22.407896 | r_c=431.027827 | r_s=0.198405 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=80/500 | active_users=3 | updated_users=3 | objective=27.764900 | sum_rate=27.764900 | r_p=22.111465 | r_c=450.060790 | r_s=0.294437 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=85/500 | active_users=3 | updated_users=3 | objective=28.546057 | sum_rate=28.546057 | r_p=22.321064 | r_c=427.648919 | r_s=0.257256 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=90/500 | active_users=3 | updated_users=3 | objective=29.746031 | sum_rate=29.746031 | r_p=22.327717 | r_c=419.924436 | r_s=0.312803 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=95/500 | active_users=3 | updated_users=3 | objective=29.866806 | sum_rate=29.866806 | r_p=21.860140 | r_c=445.713284 | r_s=0.348285 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=100/500 | active_users=3 | updated_users=3 | objective=30.018265 | sum_rate=30.018265 | r_p=21.954010 | r_c=457.733446 | r_s=0.256586 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=105/500 | active_users=3 | updated_users=3 | objective=30.091343 | sum_rate=30.091343 | r_p=21.994394 | r_c=478.486184 | r_s=0.251166 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=110/500 | active_users=3 | updated_users=3 | objective=30.158033 | sum_rate=30.158033 | r_p=21.988981 | r_c=502.380962 | r_s=0.232844 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=115/500 | active_users=3 | updated_users=3 | objective=30.210030 | sum_rate=30.210030 | r_p=21.798508 | r_c=521.801249 | r_s=0.401894 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=120/500 | active_users=3 | updated_users=3 | objective=30.237804 | sum_rate=30.237804 | r_p=21.758934 | r_c=544.575442 | r_s=0.339067 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=125/500 | active_users=3 | updated_users=3 | objective=30.249884 | sum_rate=30.249884 | r_p=21.702215 | r_c=566.780725 | r_s=0.268370 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=130/500 | active_users=3 | updated_users=3 | objective=30.251640 | sum_rate=30.251640 | r_p=21.676140 | r_c=589.673824 | r_s=0.636934 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=135/500 | active_users=3 | updated_users=3 | objective=30.255341 | sum_rate=30.255341 | r_p=21.703686 | r_c=613.988924 | r_s=0.696852 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=140/500 | active_users=3 | updated_users=3 | objective=30.256630 | sum_rate=30.256630 | r_p=21.658834 | r_c=636.218247 | r_s=0.429190 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=145/500 | active_users=3 | updated_users=3 | objective=30.261286 | sum_rate=30.261286 | r_p=21.641869 | r_c=659.181029 | r_s=0.207124 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=150/500 | active_users=3 | updated_users=3 | objective=30.262390 | sum_rate=30.262390 | r_p=21.649782 | r_c=682.865029 | r_s=0.280912 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=155/500 | active_users=3 | updated_users=3 | objective=30.259428 | sum_rate=30.259428 | r_p=21.617584 | r_c=705.241166 | r_s=0.579679 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=160/500 | active_users=3 | updated_users=3 | objective=30.255707 | sum_rate=30.255707 | r_p=21.641205 | r_c=729.406475 | r_s=0.840310 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=165/500 | active_users=3 | updated_users=3 | objective=30.255793 | sum_rate=30.255793 | r_p=21.379705 | r_c=743.737183 | r_s=0.240246 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=170/500 | active_users=3 | updated_users=3 | objective=30.266520 | sum_rate=30.266520 | r_p=21.490246 | r_c=770.776938 | r_s=0.574184 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=175/500 | active_users=3 | updated_users=3 | objective=30.261589 | sum_rate=30.261589 | r_p=21.586691 | r_c=797.512217 | r_s=0.282801 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=180/500 | active_users=3 | updated_users=3 | objective=30.255598 | sum_rate=30.255598 | r_p=21.537025 | r_c=818.905810 | r_s=0.796182 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=185/500 | active_users=3 | updated_users=3 | objective=30.237547 | sum_rate=30.237547 | r_p=21.521252 | r_c=841.509473 | r_s=1.500974 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=190/500 | active_users=3 | updated_users=3 | objective=30.258366 | sum_rate=30.258366 | r_p=21.520031 | r_c=864.647475 | r_s=0.332607 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=195/500 | active_users=3 | updated_users=3 | objective=30.263685 | sum_rate=30.263685 | r_p=21.576309 | r_c=890.139357 | r_s=0.293552 | status=running
[DL Convergence] | phase=optimize | block=0 | epoch=200/500 | active_users=3 | updated_users=3 | objective=30.235228 | sum_rate=30.235228 | r_p=21.430061 | r_c=907.194843 | r_s=0.799552 | status=running
