Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_sinr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_sinr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_sinr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=fixed_block_targets | method=convergence | users=3 | initial_total_latency=0.041467 | initial_avg_latency=0.013822 | initial_min_latency=0.007867 | initial_max_latency=0.019333
[UL Convergence Train] | phase=start | user=0 | mode=fixed_block_targets
[UL Convergence Train] | user=0 | block=0 | target_bits=200 | mode=fixed_block_targets
[UL Convergence Block] | user=0 | block=0 | budget_mode=target_bits | requested_bits=200
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=200
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/1000 | objective=-8.864399 | rate=8.864399 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/1000 | objective=-8.926255 | rate=8.926255 | power=29.935579 | r_p=0.000000 | r_c=0.000000 | r_s=0.010328 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/1000 | objective=-8.996803 | rate=8.996803 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008474 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/1000 | objective=-9.060905 | rate=9.060905 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008465 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/1000 | objective=-9.125585 | rate=9.125585 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008556 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/1000 | objective=-9.190528 | rate=9.190528 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.008639 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/1000 | objective=-9.255540 | rate=9.255540 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.008704 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/1000 | objective=-9.320525 | rate=9.320525 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008752 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/1000 | objective=-9.385366 | rate=9.385366 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008785 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/1000 | objective=-9.450025 | rate=9.450025 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008807 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/1000 | objective=-9.514421 | rate=9.514421 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.008822 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=12/1000 | objective=-9.578556 | rate=9.578556 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.008833 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=13/1000 | objective=-9.642375 | rate=9.642375 | power=29.999929 | r_p=0.000000 | r_c=0.000000 | r_s=0.008841 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=14/1000 | objective=-9.705879 | rate=9.705879 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008849 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=15/1000 | objective=-9.769053 | rate=9.769053 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.008859 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=16/1000 | objective=-9.831897 | rate=9.831897 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.008873 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=17/1000 | objective=-9.894412 | rate=9.894412 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008890 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=18/1000 | objective=-9.956597 | rate=9.956597 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008913 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=19/1000 | objective=-10.018457 | rate=10.018457 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008941 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=20/1000 | objective=-10.079998 | rate=10.079998 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.008974 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=21/1000 | objective=-10.141197 | rate=10.141197 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009010 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=22/1000 | objective=-10.202050 | rate=10.202050 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009048 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=23/1000 | objective=-10.262547 | rate=10.262547 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009088 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=24/1000 | objective=-10.322653 | rate=10.322653 | power=29.999929 | r_p=0.000000 | r_c=0.000000 | r_s=0.009126 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=25/1000 | objective=-10.382360 | rate=10.382360 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009163 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=26/1000 | objective=-10.441620 | rate=10.441620 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009197 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=27/1000 | objective=-10.500409 | rate=10.500409 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009226 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=28/1000 | objective=-10.558686 | rate=10.558686 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009251 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=29/1000 | objective=-10.616417 | rate=10.616417 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009271 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=30/1000 | objective=-10.673544 | rate=10.673544 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009286 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=31/1000 | objective=-10.730024 | rate=10.730024 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.009295 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=32/1000 | objective=-10.785826 | rate=10.785826 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009298 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=33/1000 | objective=-10.840892 | rate=10.840892 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009294 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=34/1000 | objective=-10.895182 | rate=10.895182 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009285 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=35/1000 | objective=-10.948634 | rate=10.948634 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009270 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=36/1000 | objective=-11.001230 | rate=11.001230 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.009249 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=37/1000 | objective=-11.052903 | rate=11.052903 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009222 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=38/1000 | objective=-11.103638 | rate=11.103638 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009190 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=39/1000 | objective=-11.153377 | rate=11.153377 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009151 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=40/1000 | objective=-11.202085 | rate=11.202085 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009107 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=41/1000 | objective=-11.249737 | rate=11.249737 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009057 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=42/1000 | objective=-11.296305 | rate=11.296305 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009001 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=43/1000 | objective=-11.341747 | rate=11.341747 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.008940 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=44/1000 | objective=-11.386056 | rate=11.386056 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008874 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=45/1000 | objective=-11.429210 | rate=11.429210 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008802 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=46/1000 | objective=-11.471179 | rate=11.471179 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008726 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=47/1000 | objective=-11.511955 | rate=11.511955 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008644 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=48/1000 | objective=-11.551548 | rate=11.551548 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008558 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=49/1000 | objective=-11.589937 | rate=11.589937 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008467 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=50/1000 | objective=-11.627113 | rate=11.627113 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.008372 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=51/1000 | objective=-11.663108 | rate=11.663108 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008273 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=52/1000 | objective=-11.697888 | rate=11.697888 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008169 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=53/1000 | objective=-11.731485 | rate=11.731485 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008062 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=54/1000 | objective=-11.763899 | rate=11.763899 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.007952 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=55/1000 | objective=-11.795151 | rate=11.795151 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.007839 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=56/1000 | objective=-11.825249 | rate=11.825249 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.007723 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=57/1000 | objective=-11.854223 | rate=11.854223 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.007604 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=58/1000 | objective=-11.882088 | rate=11.882088 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.007483 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=59/1000 | objective=-11.908848 | rate=11.908848 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.007361 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=60/1000 | objective=-11.934560 | rate=11.934560 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.007237 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=61/1000 | objective=-11.959215 | rate=11.959215 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.007111 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=62/1000 | objective=-11.979087 | rate=11.979087 | power=29.977650 | r_p=0.000000 | r_c=0.000000 | r_s=0.006994 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=63/1000 | objective=-12.003895 | rate=12.003895 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.006574 | status=running
