Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=fixed_block_targets | method=convergence | users=3 | initial_total_latency=0.033133 | initial_avg_latency=0.011044 | initial_min_latency=0.006467 | initial_max_latency=0.015533
[UL Convergence Train] | phase=start | user=0 | mode=fixed_block_targets
[UL Convergence Train] | user=0 | block=0 | target_bits=200 | mode=fixed_block_targets
[UL Convergence Block] | user=0 | block=0 | budget_mode=target_bits | requested_bits=200
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=200
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/1000 | objective=-10.956475 | rate=10.949526 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/1000 | objective=-11.031094 | rate=11.024059 | power=29.897985 | r_p=0.000000 | r_c=0.000000 | r_s=0.010328 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/1000 | objective=-11.123402 | rate=11.116285 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008629 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/1000 | objective=-11.204380 | rate=11.197183 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.008557 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/1000 | objective=-11.286581 | rate=11.279302 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.008665 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/1000 | objective=-11.369681 | rate=11.362319 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.008765 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/1000 | objective=-11.453470 | rate=11.446024 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008859 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/1000 | objective=-11.537822 | rate=11.530292 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008944 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/1000 | objective=-11.622647 | rate=11.615032 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009023 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/1000 | objective=-11.707844 | rate=11.700144 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009095 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/1000 | objective=-11.793350 | rate=11.785564 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009160 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=12/1000 | objective=-11.879069 | rate=11.871198 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009219 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=13/1000 | objective=-11.964956 | rate=11.956999 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009272 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=14/1000 | objective=-12.050894 | rate=12.042850 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.009321 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=15/1000 | objective=-12.136836 | rate=12.128707 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.009366 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=16/1000 | objective=-12.222686 | rate=12.214472 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009407 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=17/1000 | objective=-12.308324 | rate=12.300024 | power=29.999929 | r_p=0.000000 | r_c=0.000000 | r_s=0.009445 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=18/1000 | objective=-12.393713 | rate=12.385327 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009479 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=19/1000 | objective=-12.478719 | rate=12.470248 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009509 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=20/1000 | objective=-12.563241 | rate=12.554687 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009534 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=21/1000 | objective=-12.647192 | rate=12.638554 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009553 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=22/1000 | objective=-12.730462 | rate=12.721741 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009568 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=23/1000 | objective=-12.812944 | rate=12.804140 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009577 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=24/1000 | objective=-12.894556 | rate=12.885671 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009580 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=25/1000 | objective=-12.975176 | rate=12.966209 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009577 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=26/1000 | objective=-13.054725 | rate=13.045679 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.009569 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=27/1000 | objective=-13.133115 | rate=13.123991 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009555 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=28/1000 | objective=-13.210254 | rate=13.201053 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.009535 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=29/1000 | objective=-13.286075 | rate=13.276798 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009510 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=30/1000 | objective=-13.360501 | rate=13.351151 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.009479 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=31/1000 | objective=-13.433479 | rate=13.424055 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.009442 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=32/1000 | objective=-13.503036 | rate=13.493542 | power=29.988642 | r_p=0.000000 | r_c=0.000000 | r_s=0.009401 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=33/1000 | objective=-13.571920 | rate=13.562358 | power=29.999945 | r_p=0.000000 | r_c=0.000000 | r_s=0.008989 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=34/1000 | objective=-13.637413 | rate=13.627786 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.008928 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=35/1000 | objective=-13.701390 | rate=13.691699 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008867 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=36/1000 | objective=-13.763815 | rate=13.754061 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008802 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=37/1000 | objective=-13.824699 | rate=13.814884 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008735 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=38/1000 | objective=-13.884006 | rate=13.874131 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.008664 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=39/1000 | objective=-13.941720 | rate=13.931788 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008590 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=40/1000 | objective=-13.997857 | rate=13.987869 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008514 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=41/1000 | objective=-14.052428 | rate=14.042386 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008434 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=42/1000 | objective=-14.105400 | rate=14.095304 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008352 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=43/1000 | objective=-14.156831 | rate=14.146684 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.008267 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=44/1000 | objective=-14.206688 | rate=14.196491 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.008180 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=45/1000 | objective=-14.255017 | rate=14.244773 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.008091 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=46/1000 | objective=-14.301816 | rate=14.291525 | power=29.999939 | r_p=0.000000 | r_c=0.000000 | r_s=0.007999 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=47/1000 | objective=-14.347124 | rate=14.336787 | power=29.999935 | r_p=0.000000 | r_c=0.000000 | r_s=0.007906 | status=running
