Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/1000 | objective=32.385818 | rate=10.805262 | power=29.999939 | r_p=9.194738 | r_c=0.919474 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/1000 | objective=32.469078 | rate=10.878902 | power=29.897985 | r_p=9.121098 | r_c=1.750771 | r_s=0.010328 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/1000 | objective=32.353088 | rate=10.970415 | power=29.999939 | r_p=9.029585 | r_c=2.556802 | r_s=0.008640 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/1000 | objective=32.337105 | rate=11.050635 | power=29.999939 | r_p=8.949365 | r_c=3.342178 | r_s=0.008564 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/1000 | objective=32.292614 | rate=11.132147 | power=29.999939 | r_p=8.867853 | r_c=4.105354 | r_s=0.008667 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/1000 | objective=32.223557 | rate=11.214574 | power=29.999939 | r_p=8.785426 | r_c=4.846273 | r_s=0.008766 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/1000 | objective=32.131832 | rate=11.297742 | power=29.999935 | r_p=8.702258 | r_c=5.564926 | r_s=0.008859 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/1000 | objective=32.019066 | rate=11.381507 | power=29.999939 | r_p=8.618493 | r_c=6.261363 | r_s=0.008945 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/1000 | objective=31.886343 | rate=11.465779 | power=29.999939 | r_p=8.534221 | r_c=6.935660 | r_s=0.009024 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/1000 | objective=31.734997 | rate=11.550446 | power=29.999939 | r_p=8.449554 | r_c=7.587956 | r_s=0.009096 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/1000 | objective=31.565601 | rate=11.635468 | power=29.999939 | r_p=8.364532 | r_c=8.218370 | r_s=0.009161 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=12/1000 | objective=31.379608 | rate=11.720724 | power=29.999939 | r_p=8.279276 | r_c=8.827126 | r_s=0.009221 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=13/1000 | objective=31.177973 | rate=11.806141 | power=29.999935 | r_p=8.193859 | r_c=9.414449 | r_s=0.009275 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=14/1000 | objective=30.961578 | rate=11.891653 | power=29.999939 | r_p=8.108347 | r_c=9.980585 | r_s=0.009324 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=15/1000 | objective=30.731541 | rate=11.977173 | power=29.999945 | r_p=8.022827 | r_c=10.525837 | r_s=0.009369 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=16/1000 | objective=30.489189 | rate=12.062593 | power=29.999939 | r_p=7.937407 | r_c=11.050571 | r_s=0.009411 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=17/1000 | objective=30.235394 | rate=12.147852 | power=29.999939 | r_p=7.852148 | r_c=11.555130 | r_s=0.009448 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=18/1000 | objective=29.971661 | rate=12.232824 | power=29.999935 | r_p=7.767176 | r_c=12.039976 | r_s=0.009482 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=19/1000 | objective=29.699093 | rate=12.317427 | power=29.999945 | r_p=7.682573 | r_c=12.505552 | r_s=0.009511 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=20/1000 | objective=29.418856 | rate=12.401568 | power=29.999939 | r_p=7.598432 | r_c=12.952342 | r_s=0.009535 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=21/1000 | objective=29.132673 | rate=12.485106 | power=29.999935 | r_p=7.514894 | r_c=13.380959 | r_s=0.009553 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=22/1000 | objective=28.841541 | rate=12.567965 | power=29.999939 | r_p=7.432035 | r_c=13.791930 | r_s=0.009566 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=23/1000 | objective=28.546722 | rate=12.650046 | power=29.999939 | r_p=7.349954 | r_c=14.185859 | r_s=0.009573 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=24/1000 | objective=28.249741 | rate=12.731226 | power=29.999939 | r_p=7.268774 | r_c=14.563429 | r_s=0.009574 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=25/1000 | objective=27.951702 | rate=12.811419 | power=29.999939 | r_p=7.188581 | r_c=14.925278 | r_s=0.009569 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=26/1000 | objective=27.653751 | rate=12.890539 | power=29.999939 | r_p=7.109461 | r_c=15.272075 | r_s=0.009559 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=27/1000 | objective=27.357052 | rate=12.968495 | power=29.999939 | r_p=7.031505 | r_c=15.604517 | r_s=0.009542 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=28/1000 | objective=27.062725 | rate=13.045201 | power=29.999935 | r_p=6.954799 | r_c=15.923316 | r_s=0.009520 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=29/1000 | objective=26.771904 | rate=13.120571 | power=29.999939 | r_p=6.879429 | r_c=16.229204 | r_s=0.009492 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=30/1000 | objective=26.485346 | rate=13.194553 | power=29.999939 | r_p=6.805447 | r_c=16.522849 | r_s=0.009458 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=31/1000 | objective=26.203941 | rate=13.267085 | power=29.999939 | r_p=6.732915 | r_c=16.804955 | r_s=0.009419 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=32/1000 | objective=25.928675 | rate=13.338093 | power=29.999939 | r_p=6.661907 | r_c=17.076264 | r_s=0.009375 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=33/1000 | objective=25.701393 | rate=13.403507 | power=29.975885 | r_p=6.596493 | r_c=17.348042 | r_s=0.009333 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=34/1000 | objective=25.427977 | rate=13.472582 | power=29.999939 | r_p=6.527418 | r_c=17.596964 | r_s=0.008927 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=35/1000 | objective=25.202629 | rate=13.536093 | power=29.999945 | r_p=6.463907 | r_c=17.847674 | r_s=0.008851 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=36/1000 | objective=24.984800 | rate=13.598055 | power=29.999939 | r_p=6.401945 | r_c=18.090404 | r_s=0.008783 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=37/1000 | objective=24.774529 | rate=13.658486 | power=29.999935 | r_p=6.341514 | r_c=18.325619 | r_s=0.008713 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=38/1000 | objective=24.572556 | rate=13.717338 | power=29.999935 | r_p=6.282662 | r_c=18.553968 | r_s=0.008641 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=39/1000 | objective=24.378706 | rate=13.774647 | power=29.999935 | r_p=6.225353 | r_c=18.775840 | r_s=0.008566 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=40/1000 | objective=24.193569 | rate=13.830379 | power=29.999939 | r_p=6.169621 | r_c=18.991832 | r_s=0.008489 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=41/1000 | objective=24.016949 | rate=13.884574 | power=29.999939 | r_p=6.115426 | r_c=19.202302 | r_s=0.008409 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=42/1000 | objective=23.849419 | rate=13.937198 | power=29.999939 | r_p=6.062802 | r_c=19.407831 | r_s=0.008327 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=43/1000 | objective=23.690884 | rate=13.988281 | power=29.999939 | r_p=6.011719 | r_c=19.608784 | r_s=0.008244 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=44/1000 | objective=23.541304 | rate=14.037849 | power=29.999939 | r_p=5.962151 | r_c=19.805533 | r_s=0.008158 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=45/1000 | objective=23.400909 | rate=14.085900 | power=29.999939 | r_p=5.914100 | r_c=19.998521 | r_s=0.008071 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=46/1000 | objective=23.269491 | rate=14.132475 | power=29.999945 | r_p=5.867525 | r_c=20.188040 | r_s=0.007983 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=47/1000 | objective=23.147316 | rate=14.177567 | power=29.999939 | r_p=5.822433 | r_c=20.374526 | r_s=0.007892 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=48/1000 | objective=23.034157 | rate=14.221221 | power=29.999935 | r_p=5.778779 | r_c=20.558234 | r_s=0.007801 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=49/1000 | objective=22.930080 | rate=14.263448 | power=29.999939 | r_p=5.736552 | r_c=20.739513 | r_s=0.007709 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=50/1000 | objective=22.834843 | rate=14.304292 | power=29.999939 | r_p=5.695708 | r_c=20.918586 | r_s=0.007616 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=51/1000 | objective=22.748455 | rate=14.343770 | power=29.999945 | r_p=5.656230 | r_c=21.095757 | r_s=0.007522 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=52/1000 | objective=22.670834 | rate=14.381910 | power=29.999945 | r_p=5.618090 | r_c=21.271279 | r_s=0.007427 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=53/1000 | objective=22.601933 | rate=14.418736 | power=29.999935 | r_p=5.581264 | r_c=21.445411 | r_s=0.007332 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=54/1000 | objective=22.541384 | rate=14.454299 | power=29.999939 | r_p=5.545701 | r_c=21.618283 | r_s=0.007237 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=55/1000 | objective=22.496670 | rate=14.487904 | power=29.996012 | r_p=5.512096 | r_c=21.792969 | r_s=0.007142 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=56/1000 | objective=22.464149 | rate=14.519922 | power=29.999939 | r_p=5.480078 | r_c=21.968446 | r_s=0.006833 | status=running
