Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/1000 | objective=-9.885788 | rate=10.805262 | power=29.999939 | r_p=9.194738 | r_c=0.919474 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/1000 | objective=-9.128142 | rate=10.878902 | power=29.897985 | r_p=9.121098 | r_c=1.750771 | r_s=0.010328 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/1000 | objective=-8.413496 | rate=10.970325 | power=29.999945 | r_p=9.029675 | r_c=2.556828 | r_s=0.008646 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/1000 | objective=-7.708695 | rate=11.050815 | power=29.999939 | r_p=8.949185 | r_c=3.342119 | r_s=0.008588 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/1000 | objective=-7.027990 | rate=11.132959 | power=29.999935 | r_p=8.867041 | r_c=4.104970 | r_s=0.008736 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/1000 | objective=-6.371301 | rate=11.216456 | power=29.999939 | r_p=8.783544 | r_c=4.845155 | r_s=0.008893 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/1000 | objective=-5.738621 | rate=11.301135 | power=29.999939 | r_p=8.698865 | r_c=5.562514 | r_s=0.009052 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/1000 | objective=-5.129984 | rate=11.386898 | power=29.999935 | r_p=8.613102 | r_c=6.256914 | r_s=0.009207 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/1000 | objective=-4.545395 | rate=11.473662 | power=29.999939 | r_p=8.526338 | r_c=6.928267 | r_s=0.009357 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/1000 | objective=-3.984863 | rate=11.561369 | power=29.999939 | r_p=8.438631 | r_c=7.576506 | r_s=0.009499 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/1000 | objective=-3.448289 | rate=11.649921 | power=29.999939 | r_p=8.350079 | r_c=8.201632 | r_s=0.009634 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=12/1000 | objective=-2.935635 | rate=11.739277 | power=29.999939 | r_p=8.260723 | r_c=8.803642 | r_s=0.009763 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=13/1000 | objective=-2.446661 | rate=11.829310 | power=29.999939 | r_p=8.170690 | r_c=9.382649 | r_s=0.009889 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=14/1000 | objective=-1.981328 | rate=11.920012 | power=29.999939 | r_p=8.079988 | r_c=9.938684 | r_s=0.010013 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=15/1000 | objective=-1.539261 | rate=12.011232 | power=29.999939 | r_p=7.988768 | r_c=10.471972 | r_s=0.010135 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=16/1000 | objective=-1.120139 | rate=12.102871 | power=29.999935 | r_p=7.897129 | r_c=10.982732 | r_s=0.010253 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=17/1000 | objective=-0.723584 | rate=12.194822 | power=29.999939 | r_p=7.805178 | r_c=11.471238 | r_s=0.010366 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=18/1000 | objective=-0.349056 | rate=12.286935 | power=29.999939 | r_p=7.713065 | r_c=11.937879 | r_s=0.010473 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=19/1000 | objective=0.003979 | rate=12.379084 | power=29.999945 | r_p=7.620916 | r_c=12.383062 | r_s=0.010571 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=20/1000 | objective=0.336162 | rate=12.471121 | power=29.999939 | r_p=7.528879 | r_c=12.807282 | r_s=0.010662 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=21/1000 | objective=0.648197 | rate=12.562897 | power=29.999945 | r_p=7.437103 | r_c=13.211094 | r_s=0.010745 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=22/1000 | objective=0.940830 | rate=12.654266 | power=29.999935 | r_p=7.345734 | r_c=13.595097 | r_s=0.010820 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=23/1000 | objective=1.214860 | rate=12.745084 | power=29.999945 | r_p=7.254916 | r_c=13.959944 | r_s=0.010889 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=24/1000 | objective=1.471118 | rate=12.835208 | power=29.999939 | r_p=7.164792 | r_c=14.306326 | r_s=0.010950 | status=running
