Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_sinr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_sinr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_sinr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.037467 | initial_avg_latency=0.012489 | initial_min_latency=0.006667 | initial_max_latency=0.017467
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/1000 | objective=42.494896 | rate=9.866132 | power=29.999939 | r_p=10.133868 | r_c=1.013387 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/1000 | objective=46.212627 | rate=9.631185 | power=29.999945 | r_p=10.368815 | r_c=2.087644 | r_s=1.119694 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/1000 | objective=24.619347 | rate=11.768686 | power=29.999939 | r_p=8.231314 | r_c=2.510772 | r_s=0.475132 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/1000 | objective=22.043266 | rate=12.113115 | power=29.999935 | r_p=7.886885 | r_c=3.054906 | r_s=0.273822 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/1000 | objective=23.527227 | rate=12.021410 | power=29.999945 | r_p=7.978590 | r_c=3.719689 | r_s=0.169161 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/1000 | objective=23.822817 | rate=12.057279 | power=29.999945 | r_p=7.942721 | r_c=4.336684 | r_s=0.100176 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/1000 | objective=23.680107 | rate=12.138473 | power=29.999945 | r_p=7.861527 | r_c=4.916772 | r_s=0.075001 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/1000 | objective=23.563591 | rate=12.215574 | power=29.999945 | r_p=7.784426 | r_c=5.480525 | r_s=0.060446 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/1000 | objective=23.669403 | rate=12.268002 | power=29.999945 | r_p=7.731998 | r_c=6.045506 | r_s=0.053273 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/1000 | objective=24.007938 | rate=12.295075 | power=29.999939 | r_p=7.704925 | r_c=6.620082 | r_s=0.046410 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/1000 | objective=24.516155 | rate=12.303942 | power=29.999945 | r_p=7.696058 | r_c=7.205440 | r_s=0.039215 | status=running
