Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/1000 | objective=15.950603 | rate=12.549491 | power=29.999939 | r_p=7.450509 | r_c=0.745051 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/1000 | objective=22.643955 | rate=11.864974 | power=29.999945 | r_p=8.135026 | r_c=1.419603 | r_s=1.344077 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/1000 | objective=4.081909 | rate=14.203126 | power=29.999945 | r_p=5.796874 | r_c=1.483161 | r_s=0.591747 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/1000 | objective=1.802699 | rate=14.580955 | power=29.999939 | r_p=5.419045 | r_c=1.700627 | r_s=0.194540 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/1000 | objective=0.030314 | rate=14.892515 | power=29.999939 | r_p=5.107485 | r_c=1.879629 | r_s=0.146338 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/1000 | objective=-0.780629 | rate=15.058857 | power=29.999945 | r_p=4.941143 | r_c=2.070781 | r_s=0.110248 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/1000 | objective=-0.906555 | rate=15.116857 | power=29.999939 | r_p=4.883143 | r_c=2.287757 | r_s=0.082821 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/1000 | objective=-0.696142 | rate=15.121239 | power=29.999945 | r_p=4.878761 | r_c=2.523941 | r_s=0.061034 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/1000 | objective=-0.396032 | rate=15.111612 | power=29.999945 | r_p=4.888388 | r_c=2.767413 | r_s=0.044730 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/1000 | objective=-0.125624 | rate=15.106779 | power=29.999935 | r_p=4.893221 | r_c=3.009349 | r_s=0.034620 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/1000 | objective=0.082068 | rate=15.111622 | power=29.999945 | r_p=4.888378 | r_c=3.245570 | r_s=0.028474 | status=running
