Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_rate_sinr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_rate_sinr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_rate_sinr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.037467 | initial_avg_latency=0.012489 | initial_min_latency=0.006667 | initial_max_latency=0.017467
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/1000 | objective=-8.075571 | rate=9.159610 | power=29.999945 | r_p=10.840390 | r_c=1.084039 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/1000 | objective=-7.827441 | rate=9.926746 | power=29.999939 | r_p=10.073254 | r_c=2.099305 | r_s=1.340548 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/1000 | objective=-9.235253 | rate=11.777216 | power=29.999939 | r_p=8.222784 | r_c=2.541962 | r_s=0.429431 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/1000 | objective=-9.143122 | rate=12.196955 | power=29.999945 | r_p=7.803045 | r_c=3.053833 | r_s=0.240031 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/1000 | objective=-8.541158 | rate=12.201658 | power=29.999939 | r_p=7.798342 | r_c=3.660501 | r_s=0.140320 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/1000 | objective=-7.912121 | rate=12.188154 | power=29.999939 | r_p=7.811846 | r_c=4.276034 | r_s=0.088216 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/1000 | objective=-7.347171 | rate=12.216022 | power=29.999935 | r_p=7.783978 | r_c=4.868852 | r_s=0.062814 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/1000 | objective=-6.808305 | rate=12.255379 | power=29.999945 | r_p=7.744621 | r_c=5.447074 | r_s=0.053391 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/1000 | objective=-6.260301 | rate=12.284460 | power=29.999939 | r_p=7.715540 | r_c=6.024159 | r_s=0.049030 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/1000 | objective=-5.694377 | rate=12.300269 | power=29.999939 | r_p=7.699731 | r_c=6.605892 | r_s=0.044553 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/1000 | objective=-5.119579 | rate=12.309603 | power=29.999945 | r_p=7.690397 | r_c=7.190024 | r_s=0.039885 | status=running
