Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_rate_snr__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_rate_snr__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_rate_snr__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/1000 | objective=-10.663513 | rate=11.512284 | power=29.999939 | r_p=8.487716 | r_c=0.848772 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/1000 | objective=-12.329811 | rate=13.526596 | power=29.999935 | r_p=6.473404 | r_c=1.196785 | r_s=1.210351 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/1000 | objective=-13.177491 | rate=14.540295 | power=29.999945 | r_p=5.459705 | r_c=1.362804 | r_s=0.462755 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/1000 | objective=-13.319071 | rate=14.877406 | power=29.999945 | r_p=5.122594 | r_c=1.558335 | r_s=0.253133 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/1000 | objective=-13.259725 | rate=15.027221 | power=29.999939 | r_p=4.972779 | r_c=1.767496 | r_s=0.155334 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/1000 | objective=-13.020583 | rate=15.033016 | power=29.999945 | r_p=4.966984 | r_c=2.012433 | r_s=0.117960 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/1000 | objective=-12.800042 | rate=15.051003 | power=29.999939 | r_p=4.948997 | r_c=2.250961 | r_s=0.067018 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/1000 | objective=-12.637689 | rate=15.105893 | power=29.999939 | r_p=4.894107 | r_c=2.468205 | r_s=0.051952 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/1000 | objective=-12.477197 | rate=15.156774 | power=29.999939 | r_p=4.843226 | r_c=2.679577 | r_s=0.050548 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/1000 | objective=-12.289328 | rate=15.185930 | power=29.999939 | r_p=4.814070 | r_c=2.896602 | r_s=0.053462 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/1000 | objective=-12.057561 | rate=15.185922 | power=29.999945 | r_p=4.814078 | r_c=3.128361 | r_s=0.044902 | status=running
