Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_snr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_snr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_snr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=1/100 | objective=-11.528055 | rate=12.007762 | r_p=0.621963 | r_c=0.066065 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=2/100 | objective=-13.754776 | rate=14.424803 | r_p=0.740007 | r_c=0.084079 | r_s=0.014205 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=3/100 | objective=-14.712958 | rate=15.474093 | r_p=0.788024 | r_c=0.095745 | r_s=0.012665 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=4/100 | objective=-15.077410 | rate=15.873288 | r_p=0.802642 | r_c=0.103963 | r_s=0.011140 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=5/100 | objective=-15.190529 | rate=16.008847 | r_p=0.811829 | r_c=0.111744 | r_s=0.009478 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=6/100 | objective=-15.244901 | rate=16.072400 | r_p=0.812582 | r_c=0.118450 | r_s=0.008200 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=7/100 | objective=-15.302741 | rate=16.144606 | r_p=0.816882 | r_c=0.125750 | r_s=0.007652 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=8/100 | objective=-15.362950 | rate=16.218204 | r_p=0.820299 | r_c=0.133005 | r_s=0.007481 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=9/100 | objective=-15.380216 | rate=16.244941 | r_p=0.821578 | r_c=0.139962 | r_s=0.006616 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=10/100 | objective=-15.367118 | rate=16.241564 | r_p=0.823651 | r_c=0.147100 | r_s=0.005867 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=11/100 | objective=-15.369192 | rate=16.246194 | r_p=0.820773 | r_c=0.153322 | r_s=0.005379 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=12/100 | objective=-15.375145 | rate=16.256263 | r_p=0.818973 | r_c=0.159693 | r_s=0.005114 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=13/100 | objective=-15.365406 | rate=16.265372 | r_p=0.826646 | r_c=0.168023 | r_s=0.004799 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=14/100 | objective=-15.364079 | rate=16.268160 | r_p=0.824923 | r_c=0.174478 | r_s=0.004322 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=15/100 | objective=-15.365900 | rate=16.269035 | r_p=0.819929 | r_c=0.180144 | r_s=0.003869 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=16/100 | objective=-15.360410 | rate=16.269652 | r_p=0.819538 | r_c=0.186775 | r_s=0.003496 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=17/100 | objective=-15.351434 | rate=16.272040 | r_p=0.822503 | r_c=0.194215 | r_s=0.003280 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=18/100 | objective=-15.343012 | rate=16.274803 | r_p=0.825234 | r_c=0.201671 | r_s=0.003088 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=19/100 | objective=-15.338786 | rate=16.276128 | r_p=0.824422 | r_c=0.208269 | r_s=0.002831 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=20/100 | objective=-15.332013 | rate=16.276148 | r_p=0.824417 | r_c=0.215064 | r_s=0.002546 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=21/100 | objective=-15.325224 | rate=16.276164 | r_p=0.824412 | r_c=0.221860 | r_s=0.002335 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=22/100 | objective=-15.320426 | rate=16.277175 | r_p=0.823788 | r_c=0.228478 | r_s=0.002214 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=23/100 | objective=-15.316585 | rate=16.278650 | r_p=0.822876 | r_c=0.234996 | r_s=0.002104 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=24/100 | objective=-15.311890 | rate=16.279681 | r_p=0.822236 | r_c=0.241574 | r_s=0.001961 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=25/100 | objective=-15.306470 | rate=16.280345 | r_p=0.821823 | r_c=0.248206 | r_s=0.001870 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=26/100 | objective=-15.301188 | rate=16.281072 | r_p=0.821369 | r_c=0.254816 | r_s=0.001778 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=27/100 | objective=-15.295480 | rate=16.281587 | r_p=0.821052 | r_c=0.261459 | r_s=0.001679 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=28/100 | objective=-15.289439 | rate=16.281931 | r_p=0.820839 | r_c=0.268129 | r_s=0.001589 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=29/100 | objective=-15.283583 | rate=16.282363 | r_p=0.820571 | r_c=0.274774 | r_s=0.001517 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=30/100 | objective=-15.270139 | rate=16.282886 | r_p=0.824688 | r_c=0.282954 | r_s=0.001455 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=31/100 | objective=-15.264304 | rate=16.283357 | r_p=0.824394 | r_c=0.289650 | r_s=0.001367 | status=running
