Resolved Monte Carlo train seeds: [1, 2, 4]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_plain_rate_sinr__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=4 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | user=0 | channel_episodes=3 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=1/100 | objective=-9.649525 | rate=9.700427 | r_p=0.509021 | r_c=0.053493 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=2/100 | objective=-11.461051 | rate=11.523975 | r_p=0.598756 | r_c=0.066508 | r_s=0.013971 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=3/100 | objective=-12.433749 | rate=12.505360 | r_p=0.644690 | r_c=0.075767 | r_s=0.012656 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=4/100 | objective=-12.825607 | rate=12.903703 | r_p=0.664504 | r_c=0.082511 | r_s=0.011046 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=5/100 | objective=-12.934156 | rate=13.016776 | r_p=0.665376 | r_c=0.087047 | r_s=0.009457 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=6/100 | objective=-12.986143 | rate=13.073805 | r_p=0.670084 | r_c=0.092153 | r_s=0.008201 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=7/100 | objective=-13.041093 | rate=13.133660 | r_p=0.673099 | r_c=0.097098 | r_s=0.007555 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=8/100 | objective=-13.098380 | rate=13.195712 | r_p=0.674722 | r_c=0.101885 | r_s=0.007087 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=9/100 | objective=-13.114940 | rate=13.217486 | r_p=0.679098 | r_c=0.107157 | r_s=0.006325 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=10/100 | objective=-13.106102 | rate=13.213644 | r_p=0.681536 | r_c=0.112187 | r_s=0.005678 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=11/100 | objective=-13.104441 | rate=13.216350 | r_p=0.679845 | r_c=0.116530 | r_s=0.005315 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=12/100 | objective=-13.111911 | rate=13.227966 | r_p=0.677069 | r_c=0.120639 | r_s=0.005069 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=13/100 | objective=-13.121354 | rate=13.242738 | r_p=0.681246 | r_c=0.126024 | r_s=0.004819 | status=running
