Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260727_185736_conv_ndir_asc__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260727_185736_conv_ndir_asc__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260727_185736_conv_ndir_asc__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/120 | objective=-12.366954 | rate=13.060867 | power=29.999939 | r_p=6.939133 | r_c=0.693913 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/120 | objective=-10.705454 | rate=12.051808 | power=29.999939 | r_p=7.948192 | r_c=1.346355 | r_s=1.094082 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/120 | objective=-13.604482 | rate=14.878969 | power=29.999939 | r_p=5.121031 | r_c=1.274488 | r_s=0.550087 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/120 | objective=-13.457722 | rate=14.967802 | power=29.999939 | r_p=5.032198 | r_c=1.510080 | r_s=0.245077 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/120 | objective=-13.228199 | rate=14.985357 | power=29.999939 | r_p=5.014643 | r_c=1.757159 | r_s=0.109818 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/120 | objective=-13.063722 | rate=15.047468 | power=29.999939 | r_p=4.952532 | r_c=1.983746 | r_s=0.081459 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/120 | objective=-12.888397 | rate=15.095708 | power=29.999939 | r_p=4.904292 | r_c=2.207310 | r_s=0.058645 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/120 | objective=-12.710235 | rate=15.137304 | power=29.999945 | r_p=4.862696 | r_c=2.427070 | r_s=0.046481 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/120 | objective=-12.523563 | rate=15.169472 | power=29.999939 | r_p=4.830528 | r_c=2.645908 | r_s=0.041352 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/120 | objective=-12.317087 | rate=15.186303 | power=29.999939 | r_p=4.813697 | r_c=2.869216 | r_s=0.038522 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/120 | objective=-12.087823 | rate=15.187795 | power=29.999939 | r_p=4.812205 | r_c=3.099972 | r_s=0.034075 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=12/120 | objective=-11.845177 | rate=15.181252 | power=29.999935 | r_p=4.818748 | r_c=3.336075 | r_s=0.027824 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=13/120 | objective=-11.602516 | rate=15.175243 | power=29.999945 | r_p=4.824757 | r_c=3.572727 | r_s=0.021552 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=14/120 | objective=-11.368543 | rate=15.174578 | power=29.999939 | r_p=4.825422 | r_c=3.806035 | r_s=0.017304 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=15/120 | objective=-11.145124 | rate=15.179710 | power=29.999945 | r_p=4.820290 | r_c=4.034586 | r_s=0.016066 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=16/120 | objective=-10.929089 | rate=15.188365 | power=29.999945 | r_p=4.811635 | r_c=4.259277 | r_s=0.016792 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=17/120 | objective=-10.715607 | rate=15.197695 | power=29.999939 | r_p=4.802305 | r_c=4.482087 | r_s=0.017774 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=18/120 | objective=-10.499071 | rate=15.204803 | power=29.999945 | r_p=4.795197 | r_c=4.705733 | r_s=0.018280 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=19/120 | objective=-10.276545 | rate=15.208456 | power=29.999935 | r_p=4.791544 | r_c=4.931912 | r_s=0.017611 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=20/120 | objective=-10.047783 | rate=15.208855 | power=29.999939 | r_p=4.791145 | r_c=5.161072 | r_s=0.016000 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=21/120 | objective=-9.814402 | rate=15.207052 | power=29.999935 | r_p=4.792948 | r_c=5.392650 | r_s=0.013819 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=22/120 | objective=-9.579576 | rate=15.204704 | power=29.999945 | r_p=4.795296 | r_c=5.625128 | r_s=0.011297 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=23/120 | objective=-9.346605 | rate=15.203343 | power=29.999945 | r_p=4.796657 | r_c=5.856738 | r_s=0.009051 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=24/120 | objective=-9.117543 | rate=15.203792 | power=29.999935 | r_p=4.796208 | r_c=6.086249 | r_s=0.007912 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=25/120 | objective=-8.892350 | rate=15.205882 | power=29.999939 | r_p=4.794118 | r_c=6.313532 | r_s=0.008199 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=26/120 | objective=-8.669445 | rate=15.208813 | power=29.999945 | r_p=4.791187 | r_c=6.539368 | r_s=0.009196 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=27/120 | objective=-8.446361 | rate=15.211494 | power=29.999939 | r_p=4.788506 | r_c=6.765134 | r_s=0.010060 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=28/120 | objective=-8.221231 | rate=15.213188 | power=29.999939 | r_p=4.786812 | r_c=6.991958 | r_s=0.010347 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=29/120 | objective=-7.993181 | rate=15.213621 | power=29.999939 | r_p=4.786379 | r_c=7.220440 | r_s=0.009920 | status=running
