Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260727_185736_conv_ndir_desc__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260727_185736_conv_ndir_desc__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260727_185736_conv_ndir_desc__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/120 | objective=-11.551072 | rate=12.319157 | power=29.999945 | r_p=7.680843 | r_c=0.768084 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/120 | objective=-9.921897 | rate=11.436071 | power=29.999945 | r_p=8.563929 | r_c=1.514175 | r_s=1.080039 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/120 | objective=-12.777391 | rate=14.278885 | power=29.999945 | r_p=5.721115 | r_c=1.501494 | r_s=0.401238 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/120 | objective=-13.374583 | rate=14.979447 | power=29.999945 | r_p=5.020553 | r_c=1.604864 | r_s=0.239514 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/120 | objective=-13.254122 | rate=15.075514 | power=29.999945 | r_p=4.924486 | r_c=1.821392 | r_s=0.156264 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/120 | objective=-12.973021 | rate=15.048317 | power=29.999939 | r_p=4.951683 | r_c=2.075296 | r_s=0.100313 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/120 | objective=-12.708755 | rate=15.035330 | power=29.999945 | r_p=4.964670 | r_c=2.326574 | r_s=0.065096 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/120 | objective=-12.501432 | rate=15.061120 | power=29.999939 | r_p=4.938880 | r_c=2.559687 | r_s=0.050110 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/120 | objective=-12.324460 | rate=15.103828 | power=29.999950 | r_p=4.896172 | r_c=2.779369 | r_s=0.047903 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/120 | objective=-12.142791 | rate=15.139740 | power=29.999939 | r_p=4.860260 | r_c=2.996950 | r_s=0.046335 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/120 | objective=-11.946550 | rate=15.163750 | power=29.999939 | r_p=4.836250 | r_c=3.217199 | r_s=0.043393 | status=running
