Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_invcnr_net__ul_payload_completion_sweep_20260727_215427_conv_obj_invcnr_ndir_asc__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_invcnr_net__ul_payload_completion_sweep_20260727_215427_conv_obj_invcnr_ndir_asc__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_invcnr_net__ul_payload_completion_sweep_20260727_215427_conv_obj_invcnr_ndir_asc__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/120 | objective=-13.892920 | rate=13.095650 | power=29.999939 | r_p=6.904350 | r_c=0.690435 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/120 | objective=-11.832542 | rate=11.860953 | power=29.999939 | r_p=8.139047 | r_c=1.375853 | r_s=1.073928 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/120 | objective=-14.897863 | rate=14.593843 | power=29.999939 | r_p=5.406157 | r_c=1.353885 | r_s=0.485207 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/120 | objective=-15.204903 | rate=15.016455 | power=29.999939 | r_p=4.983545 | r_c=1.517467 | r_s=0.251010 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/120 | objective=-14.935139 | rate=15.001871 | power=29.999939 | r_p=4.998129 | r_c=1.770992 | r_s=0.152634 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/120 | objective=-14.576996 | rate=14.930504 | power=29.999939 | r_p=5.069496 | r_c=2.049660 | r_s=0.088116 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/120 | objective=-14.362805 | rate=14.957794 | power=29.999939 | r_p=5.042206 | r_c=2.294240 | r_s=0.063591 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/120 | objective=-14.223974 | rate=15.029076 | power=29.999950 | r_p=4.970924 | r_c=2.512451 | r_s=0.058874 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/120 | objective=-14.089964 | rate=15.096846 | power=29.999945 | r_p=4.903154 | r_c=2.721930 | r_s=0.053637 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/120 | objective=-13.934685 | rate=15.146404 | power=29.999939 | r_p=4.853596 | r_c=2.932397 | r_s=0.047095 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/120 | objective=-13.753443 | rate=15.177164 | power=29.999945 | r_p=4.822836 | r_c=3.147894 | r_s=0.040448 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=12/120 | objective=-13.548821 | rate=15.192581 | power=29.999939 | r_p=4.807419 | r_c=3.369685 | r_s=0.034753 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=13/120 | objective=-13.325015 | rate=15.196505 | power=29.999945 | r_p=4.803495 | r_c=3.597859 | r_s=0.030070 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=14/120 | objective=-13.087917 | rate=15.193174 | power=29.999945 | r_p=4.806826 | r_c=3.831249 | r_s=0.025474 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=15/120 | objective=-12.845854 | rate=15.187554 | power=29.999945 | r_p=4.812446 | r_c=4.067055 | r_s=0.021131 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=16/120 | objective=-12.606588 | rate=15.183733 | power=29.999939 | r_p=4.816267 | r_c=4.302064 | r_s=0.016941 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=17/120 | objective=-12.375114 | rate=15.183971 | power=29.999945 | r_p=4.816029 | r_c=4.533804 | r_s=0.013845 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=18/120 | objective=-12.152046 | rate=15.188190 | power=29.999939 | r_p=4.811810 | r_c=4.761571 | r_s=0.012860 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=19/120 | objective=-11.934207 | rate=15.194557 | power=29.999939 | r_p=4.805443 | r_c=4.986499 | r_s=0.013587 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=20/120 | objective=-11.716412 | rate=15.200526 | power=29.999945 | r_p=4.799474 | r_c=5.210941 | r_s=0.014588 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=21/120 | objective=-11.494858 | rate=15.204440 | power=29.999945 | r_p=4.795560 | r_c=5.436853 | r_s=0.014798 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=22/120 | objective=-11.269121 | rate=15.206285 | power=29.999950 | r_p=4.793715 | r_c=5.664647 | r_s=0.013965 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=23/120 | objective=-11.040966 | rate=15.206986 | power=29.999939 | r_p=4.793014 | r_c=5.893582 | r_s=0.012361 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=24/120 | objective=-10.812996 | rate=15.207723 | power=29.999935 | r_p=4.792277 | r_c=6.122371 | r_s=0.010790 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=25/120 | objective=-10.586422 | rate=15.208987 | power=29.999939 | r_p=4.791013 | r_c=6.350354 | r_s=0.010047 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=26/120 | objective=-10.360479 | rate=15.210433 | power=29.999945 | r_p=4.789567 | r_c=6.577906 | r_s=0.010151 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=27/120 | objective=-10.133359 | rate=15.211332 | power=29.999939 | r_p=4.788668 | r_c=6.806028 | r_s=0.010346 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=28/120 | objective=-9.903845 | rate=15.211254 | power=29.999945 | r_p=4.788746 | r_c=7.035456 | r_s=0.009960 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=29/120 | objective=-9.672222 | rate=15.210380 | power=29.999935 | r_p=4.789620 | r_c=7.266104 | r_s=0.008799 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=30/120 | objective=-9.440359 | rate=15.209462 | power=29.999945 | r_p=4.790538 | r_c=7.496944 | r_s=0.007126 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=31/120 | objective=-9.210217 | rate=15.209223 | power=29.999939 | r_p=4.790777 | r_c=7.726823 | r_s=0.005600 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=32/120 | objective=-8.982901 | rate=15.210016 | power=29.999939 | r_p=4.789984 | r_c=7.955020 | r_s=0.005088 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=33/120 | objective=-8.757967 | rate=15.211613 | power=29.999945 | r_p=4.788387 | r_c=8.181732 | r_s=0.005769 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=34/120 | objective=-8.533881 | rate=15.213425 | power=29.999945 | r_p=4.786575 | r_c=8.407836 | r_s=0.006874 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=35/120 | objective=-8.308747 | rate=15.214788 | power=29.999945 | r_p=4.785212 | r_c=8.634488 | r_s=0.007724 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=36/120 | objective=-8.081319 | rate=15.215312 | power=29.999939 | r_p=4.784688 | r_c=8.862501 | r_s=0.007952 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=37/120 | objective=-7.851417 | rate=15.214991 | power=29.999945 | r_p=4.785009 | r_c=9.092044 | r_s=0.007392 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=38/120 | objective=-7.620113 | rate=15.214226 | power=29.999939 | r_p=4.785774 | r_c=9.322497 | r_s=0.006099 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=39/120 | objective=-7.388991 | rate=15.213555 | power=29.999945 | r_p=4.786445 | r_c=9.552871 | r_s=0.004425 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=40/120 | objective=-7.159241 | rate=15.213349 | power=29.999945 | r_p=4.786651 | r_c=9.782393 | r_s=0.003183 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=41/120 | objective=-6.931092 | rate=15.213653 | power=29.999945 | r_p=4.786347 | r_c=10.010879 | r_s=0.003311 | status=running
