Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_unwt_net__ul_payload_completion_sweep_20260727_215427_conv_obj_unwt_ndir_asc__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_unwt_net__ul_payload_completion_sweep_20260727_215427_conv_obj_unwt_ndir_asc__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_unwt_net__ul_payload_completion_sweep_20260727_215427_conv_obj_unwt_ndir_asc__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/120 | objective=-12.072313 | rate=12.793012 | power=29.999939 | r_p=7.206988 | r_c=0.720699 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/120 | objective=-10.687546 | rate=12.054693 | power=29.999939 | r_p=7.945307 | r_c=1.367148 | r_s=0.983853 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/120 | objective=-12.861410 | rate=14.296078 | power=29.999939 | r_p=5.703922 | r_c=1.434667 | r_s=0.429205 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/120 | objective=-13.355099 | rate=14.921983 | power=29.999945 | r_p=5.078017 | r_c=1.566884 | r_s=0.242933 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/120 | objective=-13.323887 | rate=15.088718 | power=29.999939 | r_p=4.911282 | r_c=1.764831 | r_s=0.191290 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/120 | objective=-12.959185 | rate=15.001037 | power=29.999945 | r_p=4.998963 | r_c=2.041852 | r_s=0.133395 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/120 | objective=-12.686464 | rate=14.985388 | power=29.999945 | r_p=5.014612 | r_c=2.298923 | r_s=0.064282 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/120 | objective=-12.545864 | rate=15.058875 | power=29.999945 | r_p=4.941125 | r_c=2.513011 | r_s=0.050885 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/120 | objective=-12.428670 | rate=15.140360 | power=29.999945 | r_p=4.859640 | r_c=2.711690 | r_s=0.052037 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/120 | objective=-12.273300 | rate=15.190647 | power=29.999945 | r_p=4.809353 | r_c=2.917347 | r_s=0.049551 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/120 | objective=-12.067954 | rate=15.206331 | power=29.999945 | r_p=4.793669 | r_c=3.138377 | r_s=0.043841 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=12/120 | objective=-11.830246 | rate=15.201682 | power=29.999945 | r_p=4.798318 | r_c=3.371436 | r_s=0.033910 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=13/120 | objective=-11.581262 | rate=15.190974 | power=29.999939 | r_p=4.809026 | r_c=3.609712 | r_s=0.023769 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=14/120 | objective=-11.338266 | rate=15.184454 | power=29.999939 | r_p=4.815546 | r_c=3.846187 | r_s=0.016608 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=15/120 | objective=-11.105932 | rate=15.184216 | power=29.999939 | r_p=4.815784 | r_c=4.078284 | r_s=0.013045 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=16/120 | objective=-10.882523 | rate=15.188705 | power=29.999945 | r_p=4.811295 | r_c=4.306183 | r_s=0.012892 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=17/120 | objective=-10.663927 | rate=15.195339 | power=29.999939 | r_p=4.804661 | r_c=4.531412 | r_s=0.013359 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=18/120 | objective=-10.447359 | rate=15.202511 | power=29.999939 | r_p=4.797489 | r_c=4.755152 | r_s=0.014024 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=19/120 | objective=-10.229745 | rate=15.208663 | power=29.999945 | r_p=4.791337 | r_c=4.978918 | r_s=0.014558 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=20/120 | objective=-10.008293 | rate=15.212552 | power=29.999945 | r_p=4.787448 | r_c=5.204259 | r_s=0.014742 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=21/120 | objective=-9.781477 | rate=15.213667 | power=29.999939 | r_p=4.786333 | r_c=5.432190 | r_s=0.014220 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=22/120 | objective=-9.549707 | rate=15.212440 | power=29.999945 | r_p=4.787560 | r_c=5.662732 | r_s=0.012817 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=23/120 | objective=-9.315145 | rate=15.210039 | power=29.999939 | r_p=4.789961 | r_c=5.894893 | r_s=0.010540 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=24/120 | objective=-9.080965 | rate=15.207957 | power=29.999935 | r_p=4.792043 | r_c=6.126993 | r_s=0.007720 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=25/120 | objective=-8.849791 | rate=15.207296 | power=29.999945 | r_p=4.792704 | r_c=6.357506 | r_s=0.005267 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=26/120 | objective=-8.622540 | rate=15.208328 | power=29.999945 | r_p=4.791672 | r_c=6.585788 | r_s=0.004857 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=27/120 | objective=-8.398123 | rate=15.210468 | power=29.999939 | r_p=4.789532 | r_c=6.812345 | r_s=0.006359 | status=running
