Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_unwt_net__ul_payload_completion_sweep_20260727_215427_conv_obj_unwt_ndir_desc__s3\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_unwt_net__ul_payload_completion_sweep_20260727_215427_conv_obj_unwt_ndir_desc__s3\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_unwt_net__ul_payload_completion_sweep_20260727_215427_conv_obj_unwt_ndir_desc__s3\user_config
[UL Initial Baseline] | seed=3 | scenario=payload_completion | method=convergence | users=3 | initial_total_latency=0.030733 | initial_avg_latency=0.010244 | initial_min_latency=0.005867 | initial_max_latency=0.014200
[UL Convergence Train] | phase=start | user=0 | mode=payload_completion
[UL Convergence Train] | user=0 | block=0 | remaining_bits=1000
[UL Convergence Block] | user=0 | block=0 | budget_mode=B_rem | requested_bits=1000
[UL Convergence Solve] | user=0 | block=0 | stage=n=T | n_kl=50 | requested_bits=1000
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=1/120 | objective=-10.895849 | rate=11.723499 | power=29.999945 | r_p=8.276501 | r_c=0.827650 | r_s=inf | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=2/120 | objective=-10.049702 | rate=11.587256 | power=29.999945 | r_p=8.412744 | r_c=1.537555 | r_s=1.273491 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=3/120 | objective=-13.353310 | rate=14.753548 | power=29.999939 | r_p=5.246452 | r_c=1.400238 | r_s=0.633776 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=4/120 | objective=-13.346394 | rate=14.956932 | power=29.999935 | r_p=5.043068 | r_c=1.610539 | r_s=0.250903 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=5/120 | objective=-13.080599 | rate=14.948559 | power=29.999945 | r_p=5.051441 | r_c=1.867961 | r_s=0.125608 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=6/120 | objective=-12.943701 | rate=15.031832 | power=29.999939 | r_p=4.968168 | r_c=2.088131 | r_s=0.073190 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=7/120 | objective=-12.832461 | rate=15.124069 | power=29.999939 | r_p=4.875931 | r_c=2.291608 | r_s=0.065821 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=8/120 | objective=-12.669796 | rate=15.173506 | power=29.999939 | r_p=4.826494 | r_c=2.503710 | r_s=0.060088 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=9/120 | objective=-12.449179 | rate=15.181376 | power=29.999945 | r_p=4.818624 | r_c=2.732198 | r_s=0.049840 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=10/120 | objective=-12.202691 | rate=15.172525 | power=29.999935 | r_p=4.827475 | r_c=2.969834 | r_s=0.036374 | status=running
[UL Convergence] | phase=optimize | user=0 | block=0 | n_kl=50 | epoch=11/120 | objective=-11.965504 | rate=15.170035 | power=29.999945 | r_p=4.829965 | r_c=3.204532 | r_s=0.026509 | status=running
