Resolved Monte Carlo train seeds: [1, 2]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_invcnr__ul_payload_completion_sweep_20260727_215427_mc_obj_invcnr_ndir_asc__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | channel_episodes=2 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=1/100 | objective=1.770016 | rate=10.311819 | r_p=32.382193 | r_c=36.292465 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=1/100 | objective=-6.004283 | rate=7.736588 | r_p=16.029048 | r_c=4.406298 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=1/100 | objective=13.262255 | rate=12.326950 | r_p=41.308869 | r_c=72.032565 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=2/100 | objective=25.250650 | rate=11.199730 | r_p=29.873554 | r_c=53.472976 | r_s=0.020532 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=2/100 | objective=5.553964 | rate=11.917739 | r_p=37.630514 | r_c=51.052026 | r_s=0.034029 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=2/100 | objective=81.840120 | rate=13.198461 | r_p=45.342155 | r_c=138.856611 | r_s=0.026816 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=3/100 | objective=40.082005 | rate=11.328961 | r_p=27.461416 | r_c=75.572922 | r_s=0.017001 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=3/100 | objective=22.613859 | rate=11.300078 | r_p=25.483173 | r_c=43.119603 | r_s=0.016249 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=3/100 | objective=132.361803 | rate=13.216889 | r_p=43.464979 | r_c=190.809925 | r_s=0.021100 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=4/100 | objective=64.046614 | rate=11.359665 | r_p=26.701726 | r_c=101.685811 | r_s=0.013817 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=4/100 | objective=23.119487 | rate=10.999087 | r_p=20.711988 | r_c=39.336234 | r_s=0.007384 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=4/100 | objective=183.770748 | rate=13.193813 | r_p=42.592308 | r_c=231.779190 | r_s=0.016419 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=5/100 | objective=87.768789 | rate=11.422313 | r_p=25.740208 | r_c=110.836379 | r_s=0.012076 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=5/100 | objective=25.084880 | rate=11.039603 | r_p=19.511620 | r_c=40.863526 | r_s=0.007127 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=5/100 | objective=226.555963 | rate=13.215660 | r_p=42.238611 | r_c=270.322709 | r_s=0.014326 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=6/100 | objective=100.531582 | rate=11.447697 | r_p=25.535212 | r_c=140.631660 | r_s=0.010021 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=6/100 | objective=29.355898 | rate=11.008518 | r_p=19.693651 | r_c=45.123155 | r_s=0.007019 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=6/100 | objective=266.424632 | rate=13.232420 | r_p=41.987295 | r_c=321.456174 | r_s=0.011555 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=7/100 | objective=132.190278 | rate=11.396695 | r_p=25.924934 | r_c=149.666849 | r_s=0.009020 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=7/100 | objective=32.072557 | rate=11.055460 | r_p=19.260779 | r_c=47.841114 | r_s=0.006677 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=7/100 | objective=318.715358 | rate=13.236675 | r_p=41.933092 | r_c=379.254487 | r_s=0.010482 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=8/100 | objective=133.629222 | rate=11.464252 | r_p=24.975448 | r_c=152.371677 | r_s=0.008152 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=8/100 | objective=35.202405 | rate=10.991488 | r_p=18.979522 | r_c=50.744731 | r_s=0.006221 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=8/100 | objective=386.921926 | rate=13.175799 | r_p=42.997308 | r_c=460.423354 | r_s=0.008900 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=9/100 | objective=148.871928 | rate=11.347841 | r_p=26.131313 | r_c=166.251902 | r_s=0.003814 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=9/100 | objective=36.677655 | rate=10.996429 | r_p=18.185755 | r_c=51.929690 | r_s=0.005808 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=9/100 | objective=455.635461 | rate=13.176108 | r_p=42.934344 | r_c=502.596202 | r_s=0.007335 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=10/100 | objective=155.008146 | rate=11.355652 | r_p=26.023658 | r_c=172.339286 | r_s=0.003766 | status=running
