Resolved Monte Carlo train seeds: [1, 2]
Resolved Monte Carlo test seed: 3
Initialized plotting globals:
train_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\training\optimization_history
test_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\testing\optimization_history
user_cfg_result_path: C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc_unwt__ul_payload_completion_sweep_20260727_215427_mc_obj_unwt_ndir_asc__s3\testing\user_config
[UL Monte Carlo Dataset] | phase=collect | seed=1 | base_dataset=channel_episode_only
[UL Monte Carlo Dataset] | phase=collect | seed=2 | base_dataset=channel_episode_only
[UL Monte Carlo Train] | phase=start | channel_episodes=2 | epochs=100 | batch_size=32
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=1/100 | objective=1.043818 | rate=10.311175 | r_p=32.382661 | r_c=36.293198 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=1/100 | objective=-6.133946 | rate=7.736151 | r_p=16.029052 | r_c=4.406308 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=1/100 | objective=12.042544 | rate=12.318950 | r_p=41.314175 | r_c=72.050859 | r_s=inf | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=2/100 | objective=24.445700 | rate=11.201461 | r_p=29.872219 | r_c=53.469678 | r_s=0.020552 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=2/100 | objective=6.935416 | rate=11.898645 | r_p=38.368726 | r_c=52.900347 | r_s=0.034061 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=2/100 | objective=81.734314 | rate=13.200760 | r_p=45.385524 | r_c=139.053499 | r_s=0.026942 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=3/100 | objective=39.270929 | rate=11.331410 | r_p=27.459587 | r_c=75.566395 | r_s=0.016986 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=3/100 | objective=24.003330 | rate=11.303272 | r_p=25.470669 | r_c=43.667792 | r_s=0.016344 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=3/100 | objective=132.479476 | rate=13.219085 | r_p=43.522574 | r_c=191.194964 | r_s=0.021149 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=4/100 | objective=63.528358 | rate=11.357129 | r_p=26.801275 | r_c=102.092277 | r_s=0.013736 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=4/100 | objective=24.332823 | rate=10.997448 | r_p=20.607538 | r_c=39.576980 | r_s=0.007344 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=4/100 | objective=184.027556 | rate=13.196876 | r_p=42.651090 | r_c=232.289415 | r_s=0.016243 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=5/100 | objective=87.031558 | rate=11.420989 | r_p=25.749588 | r_c=110.946966 | r_s=0.012027 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=5/100 | objective=26.607828 | rate=11.035937 | r_p=19.600923 | r_c=41.485728 | r_s=0.007095 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=5/100 | objective=226.277544 | rate=13.216717 | r_p=42.186770 | r_c=270.124413 | r_s=0.014246 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=6/100 | objective=100.229240 | rate=11.446972 | r_p=25.632930 | r_c=141.386446 | r_s=0.009960 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=6/100 | objective=29.674173 | rate=11.070219 | r_p=19.250662 | r_c=44.450273 | r_s=0.006989 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=6/100 | objective=266.050885 | rate=13.232446 | r_p=41.936925 | r_c=321.110431 | r_s=0.011608 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=7/100 | objective=128.417244 | rate=11.449886 | r_p=25.348160 | r_c=147.419798 | r_s=0.008909 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=7/100 | objective=33.423263 | rate=11.053087 | r_p=19.261954 | r_c=48.186576 | r_s=0.006661 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=7/100 | objective=321.408573 | rate=13.210622 | r_p=42.428411 | r_c=367.136724 | r_s=0.010649 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=8/100 | objective=133.360869 | rate=11.465751 | r_p=24.884940 | r_c=152.841605 | r_s=0.008490 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=8/100 | objective=36.826933 | rate=10.990134 | r_p=19.114247 | r_c=51.470610 | r_s=0.006204 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=8/100 | objective=368.829354 | rate=13.174834 | r_p=42.998359 | r_c=418.122876 | r_s=0.009101 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=9/100 | objective=146.576166 | rate=11.430414 | r_p=25.709057 | r_c=167.971669 | r_s=0.007390 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=9/100 | objective=38.337611 | rate=10.995310 | r_p=18.320390 | r_c=52.689289 | r_s=0.005804 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=9/100 | objective=413.767265 | rate=13.176687 | r_p=42.985017 | r_c=460.937285 | r_s=0.007339 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=10/100 | objective=155.802638 | rate=11.438184 | r_p=25.597395 | r_c=173.959049 | r_s=0.006986 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=10/100 | objective=41.307781 | rate=10.976405 | r_p=18.179533 | r_c=55.589140 | r_s=0.005420 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=10/100 | objective=457.709402 | rate=13.177435 | r_p=42.933091 | r_c=511.525406 | r_s=0.006969 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=11/100 | objective=160.006078 | rate=11.431490 | r_p=25.224077 | r_c=178.467449 | r_s=0.007062 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=11/100 | objective=42.755475 | rate=10.985649 | r_p=17.575169 | r_c=56.829990 | r_s=0.005247 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=11/100 | objective=507.480885 | rate=13.178775 | r_p=42.869118 | r_c=551.747506 | r_s=0.005857 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=0 | epoch=12/100 | objective=173.529416 | rate=11.348585 | r_p=26.130126 | r_c=191.705833 | r_s=0.003270 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=1 | epoch=12/100 | objective=44.808956 | rate=10.991718 | r_p=17.256845 | r_c=58.778661 | r_s=0.004795 | status=running
[UL Monte Carlo] | phase=train | method=monte_carlo | user=2 | epoch=12/100 | objective=549.148353 | rate=13.178885 | r_p=42.920405 | r_c=597.188963 | r_s=0.004672 | status=running
