status,returncode,link,method,scenario_mode,base_config_name,generated_config_name,decision_tag,is_base_configuration,seed,train_seeds,highlighted_configuration,run_started_at_local,run_completed_at_local,duration_seconds,initial_total_latency,final_total_latency,delta_final_total_latency_vs_base,total_latency_reduction_percent,delta_total_latency_reduction_percent_vs_base,initial_asynchronality_sum,final_asynchronality_sum,delta_final_asynchronality_sum_vs_base,asynchronality_reduction_percent,delta_asynchronality_reduction_percent_vs_base,initial_avg_snr_db,final_avg_snr_db,delta_final_avg_snr_db_vs_base,initial_avg_sinr_db,final_avg_sinr_db,delta_final_avg_sinr_db_vs_base,total_served_bits,delta_total_served_bits_vs_base,total_skipped_blocks,delta_total_skipped_blocks_vs_base,total_target_bits,total_unserved_bits,training_solve_status,epochs_completed,last_epoch_feasible_rollout_queries,last_epoch_total_rollout_queries,last_epoch_feasible_rollout_fraction,result_json_path,log_path,effective_decisions_json,decision__simulation__bs_shared_net_fixed_target_n_target_mode,decision__simulation__constraint_loss_form,decision__simulation__convergence_block_objective_mode,decision__simulation__convergence_precoder_update_mode,decision__simulation__downlink_precoder_net_scope,decision__simulation__uplink_rate_model
completed,0,uplink,convergence,payload_completion,uplink_payload_completion.yaml,ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.yaml,upd-dir__loss-aug__rate-snr,False,3,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=snr,2026-07-04T21:11:04+03:00,2026-07-04T21:12:20+03:00,156.12354430000414,0.030733333333333335,0.02466666666666667,0.0,19.73969631236442,0.0,0.01666666666666667,0.015333333333333334,0.0,8.000000000000012,0.0,8.107807951499426,8.297922805649929,-0.07529628116675191,-3.3938913850276786,-3.373182097227485,-0.11478707746594141,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder"", ""simulation.uplink_rate_model"": ""snr""}",,augmented_lagrangian,,direct_precoder,,snr
completed,0,uplink,convergence,payload_completion,uplink_payload_completion.yaml,ul_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__rate-snr.yaml,upd-net__loss-aug__rate-snr,False,3,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=precoder_net; uplink_rate_model=snr,2026-07-04T21:08:06+03:00,2026-07-04T21:09:31+03:00,181.81789000000572,0.030733333333333335,0.02466666666666667,0.0,19.73969631236442,0.0,0.01666666666666667,0.015333333333333334,0.0,8.000000000000012,0.0,8.107807951499426,8.410478637676384,0.03725955085970334,-3.3938913850276786,-3.2985749383348755,-0.04017991857333181,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__rate-snr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.uplink_rate_model"": ""snr""}",,augmented_lagrangian,,precoder_net,,snr
completed,0,uplink,convergence,fixed_block_targets,uplink_fixed_block_targets.yaml,ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.yaml,upd-dir__loss-aug__rate-snr,False,3,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=snr,2026-07-04T21:03:11+03:00,2026-07-04T21:05:37+03:00,259.64371960000426,0.033133333333333334,0.027333333333333334,0.0,17.505030181086518,0.0,0.018133333333333335,0.016266666666666665,0.0,10.294117647058837,0.0,8.247380390879659,8.3202115953422,-0.07257764967075175,-3.3488066206522675,-3.3366520628221834,-0.007119903220083046,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder"", ""simulation.uplink_rate_model"": ""snr""}",,augmented_lagrangian,,direct_precoder,,snr
completed,0,uplink,convergence,fixed_block_targets,uplink_fixed_block_targets.yaml,ul_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__rate-snr.yaml,upd-net__loss-aug__rate-snr,False,3,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=precoder_net; uplink_rate_model=snr,2026-07-04T21:03:11+03:00,2026-07-04T21:06:07+03:00,290.0188277999987,0.033133333333333334,0.027333333333333334,0.0,17.505030181086518,0.0,0.018133333333333335,0.016266666666666665,0.0,10.294117647058837,0.0,8.247380390879659,8.420832687894986,0.028043442882035308,-3.3488066206522675,-3.3302110389456216,-0.0006788793435212881,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_aug_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__rate-snr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.uplink_rate_model"": ""snr""}",,augmented_lagrangian,,precoder_net,,snr
completed,0,uplink,monte_carlo,payload_completion,uplink_payload_completion.yaml,ul_payload_completion__sweep_20260704_210305__mc__loss-aug__rate-snr.yaml,loss-aug__rate-snr,False,3,"1,2,4",constraint_loss_form=augmented_lagrangian; uplink_rate_model=snr,2026-07-04T21:11:29+03:00,2026-07-04T21:13:49+03:00,154.57814530000906,0.030733333333333335,0.030866666666666667,0.0,-0.4338394793926221,0.0,0.01666666666666667,0.017733333333333334,0.0,-6.399999999999981,0.0,8.107807951499426,8.174785048971732,0.0011114986489637602,-3.3938913850276786,-3.4149080873900743,-0.0009317951892362508,6000,0.0,0,0.0,0,0,,,9,27,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_payload_completion_sweep_20260704_210305_mc_loss_aug_rate_snr__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__mc__loss-aug__rate-snr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.uplink_rate_model"": ""snr""}",,augmented_lagrangian,,,,snr
completed,0,uplink,convergence,payload_completion,uplink_payload_completion.yaml,ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-sinr.yaml,upd-dir__loss-aug__rate-sinr,False,3,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=sinr,2026-07-04T21:11:11+03:00,2026-07-04T21:12:24+03:00,150.68591999998898,0.03746666666666666,0.03166666666666666,0.006999999999999992,15.480427046263346,-4.259269266101073,0.021599999999999994,0.020399999999999995,0.00506666666666666,5.555555555555555,-2.444444444444457,8.200785299474761,8.331515488544657,-0.04170359827202397,-3.3431416475112745,-3.3104415762666957,-0.052046556505152,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_sinr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-sinr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder"", ""simulation.uplink_rate_model"": ""sinr""}",,augmented_lagrangian,,direct_precoder,,sinr
completed,0,uplink,convergence,payload_completion,uplink_payload_completion.yaml,ul_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__rate-sinr.yaml,upd-net__loss-aug__rate-sinr,False,3,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=precoder_net; uplink_rate_model=sinr,2026-07-04T21:08:09+03:00,2026-07-04T21:09:28+03:00,177.25406479999947,0.03746666666666666,0.031733333333333336,0.0070666666666666655,15.302491103202831,-4.437205209161588,0.021599999999999994,0.020399999999999995,0.00506666666666666,5.555555555555555,-2.444444444444457,8.200785299474761,8.338220236959382,-0.034998849857299064,-3.3431416475112745,-3.34097683320617,-0.08258181344462612,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_net__ul_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_rate_sinr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__rate-sinr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.uplink_rate_model"": ""sinr""}",,augmented_lagrangian,,precoder_net,,sinr
completed,0,uplink,monte_carlo,fixed_block_targets,uplink_fixed_block_targets.yaml,ul_fixed_block_targets__sweep_20260704_210305__mc__loss-aug__rate-snr.yaml,loss-aug__rate-snr,False,3,"1,2,4",constraint_loss_form=augmented_lagrangian; uplink_rate_model=snr,2026-07-04T21:07:32+03:00,2026-07-04T21:11:08+03:00,231.1464624000073,0.033133333333333334,0.03373333333333333,0.0,-1.8108651911468703,0.0,0.018133333333333335,0.01773333333333333,0.0,2.205882352941201,0.0,8.247380390879659,8.213646276067374,-0.0010212135934342115,-3.3488066206522675,-3.372836887197239,-0.0002366576243608698,6000,0.0,0,0.0,6000,0,,,9,27,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Monte Carlo\mc__ul_fixed_block_targets_sweep_20260704_210305_mc_loss_aug_rate_snr__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_fixed_block_targets__sweep_20260704_210305__mc__loss-aug__rate-snr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.uplink_rate_model"": ""snr""}",,augmented_lagrangian,,,,snr
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-bs.yaml,upd-net__loss-aug__obj-blend__scope-bs,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-05T01:04:19+03:00,2026-07-05T01:27:52+03:00,1463.2615042000107,0.305,0.03373333333333334,-0.004799999999999992,88.93989071038251,1.5737704918032733,0.1316,0.011866666666666668,-0.0005333333333333301,90.98277608915907,0.4052684903748798,8.0,13.717165775412605,0.33020451662421557,-2.8372989989781154,6.739965826338533,1.3271626326720103,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_obj_blend_scope_bs__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-bs.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",,augmented_lagrangian,blended_network_rate,precoder_net,bs_shared_net,
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-sum__scope-bs.yaml,upd-net__loss-aug__obj-sum__scope-bs,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=unweighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-05T00:33:03+03:00,2026-07-05T01:03:13+03:00,1893.9375988999964,0.305,0.03386666666666667,-0.004666666666666659,88.89617486338798,1.530054644808743,0.1316,0.012,-0.0003999999999999976,90.88145896656535,0.3039513677811527,8.0,13.699805294478466,0.3128440356900768,-2.8372989989781154,6.651948673170746,1.2391454795042227,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_sum_bs_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_obj_sum_scope_bs__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-sum__scope-bs.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""unweighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",,augmented_lagrangian,unweighted_sum_rate,precoder_net,bs_shared_net,
