status,returncode,link,method,scenario_mode,base_config_name,generated_config_name,decision_tag,is_base_configuration,seed,train_seeds,highlighted_configuration,run_started_at_local,run_completed_at_local,duration_seconds,initial_total_latency,final_total_latency,delta_final_total_latency_vs_base,total_latency_reduction_percent,delta_total_latency_reduction_percent_vs_base,initial_asynchronality_sum,final_asynchronality_sum,delta_final_asynchronality_sum_vs_base,asynchronality_reduction_percent,delta_asynchronality_reduction_percent_vs_base,initial_avg_snr_db,final_avg_snr_db,delta_final_avg_snr_db_vs_base,initial_avg_sinr_db,final_avg_sinr_db,delta_final_avg_sinr_db_vs_base,total_served_bits,delta_total_served_bits_vs_base,total_skipped_blocks,delta_total_skipped_blocks_vs_base,total_target_bits,total_unserved_bits,training_solve_status,epochs_completed,last_epoch_feasible_rollout_queries,last_epoch_total_rollout_queries,last_epoch_feasible_rollout_fraction,result_json_path,log_path,effective_decisions_json,decision__simulation__bs_shared_net_fixed_target_n_target_mode,decision__simulation__constraint_loss_form,decision__simulation__convergence_block_objective_mode,decision__simulation__convergence_precoder_update_mode,decision__simulation__downlink_precoder_net_scope
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs.yaml,upd-net__loss-plain__obj-blend__scope-bs,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-05T00:31:20+03:00,2026-07-05T01:21:05+03:00,3070.334971899996,0.305,0.033666666666666664,-0.004866666666666665,88.96174863387978,1.5956284153005384,0.1316,0.012666666666666666,0.0002666666666666685,90.37487335359677,-0.20263424518742568,8.0,13.686520027327013,0.29955876853862407,-2.8372989989781154,6.242237612451175,0.8294344187846523,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_bs__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",,plain_lagrangian,blended_network_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-bs.yaml,upd-net__loss-aug__obj-blend__scope-bs,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-05T01:04:19+03:00,2026-07-05T01:27:52+03:00,1463.2615042000107,0.305,0.03373333333333334,-0.004799999999999992,88.93989071038251,1.5737704918032733,0.1316,0.011866666666666668,-0.0005333333333333301,90.98277608915907,0.4052684903748798,8.0,13.717165775412605,0.33020451662421557,-2.8372989989781154,6.739965826338533,1.3271626326720103,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_obj_blend_scope_bs__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-bs.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",,augmented_lagrangian,blended_network_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-user.yaml,upd-net__loss-aug__obj-blend__scope-user,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-05T00:52:18+03:00,2026-07-05T01:20:54+03:00,1774.9396882,0.305,0.03526666666666667,-0.0032666666666666608,88.43715846994536,1.0710382513661187,0.1316,0.008,-0.004399999999999998,93.9209726443769,3.3434650455927084,8.0,14.274583582129958,0.887622323341569,-2.8372989989781154,12.413832284697735,7.001029091031212,6000,0.0,3,3.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_user_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_obj_blend_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-user.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",,augmented_lagrangian,blended_network_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs__ntgt-jointn.yaml,upd-net__loss-plain__obj-blend__scope-bs__ntgt-jointn,False,3,,bs_shared_net_fixed_target_n_target_mode=shared_n_targets; constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-04T23:01:47+03:00,2026-07-04T23:36:54+03:00,2154.8642524000024,0.06333333333333334,0.035666666666666666,-0.002799999999999997,43.684210526315795,4.421052631578938,0.020000000000000004,0.0208,-0.0012000000000000031,-3.999999999999975,6.000000000000014,8.0,13.66557862358215,0.006355259582889516,-3.990511281333063,7.369500932086538,1.3625134031314863,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_bs_ntgt_jointn__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs__ntgt-jointn.log,"{""simulation.bs_shared_net_fixed_target_n_target_mode"": ""shared_n_targets"", ""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",shared_n_targets,plain_lagrangian,blended_network_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs__ntgt-usern.yaml,upd-net__loss-plain__obj-blend__scope-bs__ntgt-usern,False,3,,bs_shared_net_fixed_target_n_target_mode=per_user_n_targets; constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-04T23:03:22+03:00,2026-07-04T23:38:48+03:00,2174.0687632999907,0.06333333333333334,0.035666666666666666,-0.002799999999999997,43.684210526315795,4.421052631578938,0.020000000000000004,0.0208,-0.0012000000000000031,-3.999999999999975,6.000000000000014,8.0,13.66557862358215,0.006355259582889516,-3.990511281333063,7.369500932086538,1.3625134031314863,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_bs_ntgt_usern__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs__ntgt-usern.log,"{""simulation.bs_shared_net_fixed_target_n_target_mode"": ""per_user_n_targets"", ""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",per_user_n_targets,plain_lagrangian,blended_network_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-bs__ntgt-jointn.yaml,upd-net__loss-aug__obj-blend__scope-bs__ntgt-jointn,False,3,,bs_shared_net_fixed_target_n_target_mode=shared_n_targets; constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-04T23:39:24+03:00,2026-07-05T00:00:25+03:00,1304.371296199999,0.06333333333333334,0.036066666666666664,-0.0023999999999999994,43.05263157894738,3.7894736842105203,0.020000000000000004,0.0216,-0.00040000000000000105,-7.999999999999985,2.0000000000000044,8.0,13.80566572214545,0.14644235814619044,-3.990511281333063,7.4335086681229114,1.4265211391678596,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_aug_obj_blend_scope_bs_ntgt_jointn__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-bs__ntgt-jointn.log,"{""simulation.bs_shared_net_fixed_target_n_target_mode"": ""shared_n_targets"", ""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",shared_n_targets,augmented_lagrangian,blended_network_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-bs__ntgt-usern.yaml,upd-net__loss-aug__obj-blend__scope-bs__ntgt-usern,False,3,,bs_shared_net_fixed_target_n_target_mode=per_user_n_targets; constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-04T23:39:44+03:00,2026-07-05T00:00:45+03:00,1307.4095627999923,0.06333333333333334,0.036066666666666664,-0.0023999999999999994,43.05263157894738,3.7894736842105203,0.020000000000000004,0.0216,-0.00040000000000000105,-7.999999999999985,2.0000000000000044,8.0,13.80566572214545,0.14644235814619044,-3.990511281333063,7.4335086681229114,1.4265211391678596,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_aug_obj_blend_scope_bs_ntgt_usern__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-bs__ntgt-usern.log,"{""simulation.bs_shared_net_fixed_target_n_target_mode"": ""per_user_n_targets"", ""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",per_user_n_targets,augmented_lagrangian,blended_network_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__obj-blend.yaml,upd-dir__loss-plain__obj-blend,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=direct_precoder,2026-07-05T00:06:31+03:00,2026-07-05T00:31:24+03:00,1565.6826894999977,0.305,0.0364,-0.0021333333333333274,88.06557377049181,0.6994535519125691,0.1316,0.012,-0.0003999999999999976,90.88145896656535,0.3039513677811527,8.0,13.197919848346833,-0.18904141044155587,-2.8372989989781154,5.460236640498575,0.047433446832052084,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_dir__dl_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_obj_blend__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__obj-blend.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder""}",,plain_lagrangian,blended_network_rate,direct_precoder,
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-user.yaml,upd-net__loss-plain__obj-blend__scope-user,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-05T00:27:11+03:00,2026-07-05T00:51:17+03:00,1508.6989427999943,0.305,0.037333333333333336,-0.0011999999999999927,87.75956284153006,0.3934426229508148,0.1316,0.005066666666666667,-0.007333333333333331,96.1499493414387,5.5724417426545045,8.0,14.371253168863609,0.9842919100752194,-2.8372989989781154,10.692750618752886,5.2799474250863625,6000,0.0,3,3.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_user_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-user.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",,plain_lagrangian,blended_network_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__obj-blend.yaml,upd-dir__loss-aug__obj-blend,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=direct_precoder,2026-07-05T00:15:53+03:00,2026-07-05T00:31:23+03:00,1009.272577900003,0.305,0.0378,-0.0007333333333333289,87.60655737704917,0.24043715846993052,0.1316,0.013333333333333332,0.0009333333333333346,89.86828774062816,-0.7092198581560325,8.0,13.417028116890227,0.03006685810183818,-2.8372989989781154,6.249960507607093,0.8371573139405699,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_dir__dl_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_obj_blend__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__obj-blend.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder""}",,augmented_lagrangian,blended_network_rate,direct_precoder,
