status,returncode,link,method,scenario_mode,base_config_name,generated_config_name,decision_tag,is_base_configuration,seed,train_seeds,highlighted_configuration,run_started_at_local,run_completed_at_local,duration_seconds,initial_total_latency,final_total_latency,delta_final_total_latency_vs_base,total_latency_reduction_percent,delta_total_latency_reduction_percent_vs_base,initial_asynchronality_sum,final_asynchronality_sum,delta_final_asynchronality_sum_vs_base,asynchronality_reduction_percent,delta_asynchronality_reduction_percent_vs_base,initial_avg_snr_db,final_avg_snr_db,delta_final_avg_snr_db_vs_base,initial_avg_sinr_db,final_avg_sinr_db,delta_final_avg_sinr_db_vs_base,total_served_bits,delta_total_served_bits_vs_base,total_skipped_blocks,delta_total_skipped_blocks_vs_base,total_target_bits,total_unserved_bits,training_solve_status,epochs_completed,last_epoch_feasible_rollout_queries,last_epoch_total_rollout_queries,last_epoch_feasible_rollout_fraction,result_json_path,log_path,effective_decisions_json,decision__simulation__bs_shared_net_fixed_target_n_target_mode,decision__simulation__constraint_loss_form,decision__simulation__convergence_block_objective_mode,decision__simulation__convergence_precoder_update_mode,decision__simulation__downlink_precoder_net_scope
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-bitsw__scope-bs.yaml,upd-net__loss-plain__obj-bitsw__scope-bs,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-05T00:26:03+03:00,2026-07-05T01:07:04+03:00,2535.3804775000026,0.305,0.034466666666666666,-0.004066666666666663,88.69945355191258,1.3333333333333428,0.1316,0.012,-0.0003999999999999976,90.88145896656535,0.3039513677811527,8.0,13.718891475883593,0.33193021709520387,-2.8372989989781154,6.052375944880024,0.6395727512135005,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_bs_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_obj_bitsw_scope_bs__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-bitsw__scope-bs.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",,plain_lagrangian,remaining_bits_weighted_sum_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-bs.yaml,upd-net__loss-aug__obj-bitsw__scope-bs,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-05T00:46:04+03:00,2026-07-05T01:22:20+03:00,2230.3639698999905,0.305,0.03473333333333333,-0.003799999999999998,88.6120218579235,1.245901639344254,0.1316,0.012,-0.0003999999999999976,90.88145896656535,0.3039513677811527,8.0,13.578951806099562,0.19199054731117293,-2.8372989989781154,5.969986354359671,0.5571831606931479,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_bs_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_obj_bitsw_scope_bs__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-bs.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",,augmented_lagrangian,remaining_bits_weighted_sum_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-user.yaml,upd-net__loss-aug__obj-bitsw__scope-user,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-05T00:45:48+03:00,2026-07-05T01:11:24+03:00,1603.587214900006,0.305,0.035,-0.003533333333333326,88.52459016393443,1.1584699453551934,0.1316,0.007466666666666667,-0.004933333333333331,94.32624113475178,3.748733535967588,8.0,14.296262260116286,0.909301001327897,-2.8372989989781154,12.70395464209093,7.291151448424406,6000,0.0,3,3.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_user_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_obj_bitsw_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-user.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",,augmented_lagrangian,remaining_bits_weighted_sum_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-bitsw__scope-bs__ntgt-jointn.yaml,upd-net__loss-plain__obj-bitsw__scope-bs__ntgt-jointn,False,3,,bs_shared_net_fixed_target_n_target_mode=shared_n_targets; constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-04T22:59:21+03:00,2026-07-04T23:44:54+03:00,2783.68879629999,0.06333333333333334,0.03573333333333334,-0.0027333333333333237,43.57894736842105,4.315789473684191,0.020000000000000004,0.021066666666666668,-0.0009333333333333346,-5.333333333333318,4.666666666666671,8.0,13.677898222212917,0.01867485821365733,-3.990511281333063,7.46371980855888,1.4567322796038278,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_plain_obj_bitsw_scope_bs_ntgt_jointn__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-bitsw__scope-bs__ntgt-jointn.log,"{""simulation.bs_shared_net_fixed_target_n_target_mode"": ""shared_n_targets"", ""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",shared_n_targets,plain_lagrangian,remaining_bits_weighted_sum_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-bitsw__scope-bs__ntgt-usern.yaml,upd-net__loss-plain__obj-bitsw__scope-bs__ntgt-usern,False,3,,bs_shared_net_fixed_target_n_target_mode=per_user_n_targets; constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-04T23:00:12+03:00,2026-07-04T23:45:46+03:00,2784.1038880999986,0.06333333333333334,0.03573333333333334,-0.0027333333333333237,43.57894736842105,4.315789473684191,0.020000000000000004,0.021066666666666668,-0.0009333333333333346,-5.333333333333318,4.666666666666671,8.0,13.677898222212917,0.01867485821365733,-3.990511281333063,7.46371980855888,1.4567322796038278,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_plain_obj_bitsw_scope_bs_ntgt_usern__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-bitsw__scope-bs__ntgt-usern.log,"{""simulation.bs_shared_net_fixed_target_n_target_mode"": ""per_user_n_targets"", ""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",per_user_n_targets,plain_lagrangian,remaining_bits_weighted_sum_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-bs__ntgt-jointn.yaml,upd-net__loss-aug__obj-bitsw__scope-bs__ntgt-jointn,False,3,,bs_shared_net_fixed_target_n_target_mode=shared_n_targets; constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-04T23:34:05+03:00,2026-07-04T23:56:56+03:00,1415.5980629999976,0.06333333333333334,0.0358,-0.0026666666666666644,43.47368421052632,4.2105263157894655,0.020000000000000004,0.021066666666666664,-0.0009333333333333381,-5.3333333333333,4.666666666666689,8.0,13.806898073777617,0.14767470977835728,-3.990511281333063,7.43810042815261,1.431112899197558,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_aug_obj_bitsw_scope_bs_ntgt_jointn__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-bs__ntgt-jointn.log,"{""simulation.bs_shared_net_fixed_target_n_target_mode"": ""shared_n_targets"", ""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",shared_n_targets,augmented_lagrangian,remaining_bits_weighted_sum_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-bs__ntgt-usern.yaml,upd-net__loss-aug__obj-bitsw__scope-bs__ntgt-usern,False,3,,bs_shared_net_fixed_target_n_target_mode=per_user_n_targets; constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,2026-07-04T23:36:35+03:00,2026-07-04T23:59:33+03:00,1419.833838999999,0.06333333333333334,0.0358,-0.0026666666666666644,43.47368421052632,4.2105263157894655,0.020000000000000004,0.021066666666666664,-0.0009333333333333381,-5.3333333333333,4.666666666666689,8.0,13.806898073777617,0.14767470977835728,-3.990511281333063,7.43810042815261,1.431112899197558,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_aug_obj_bitsw_scope_bs_ntgt_usern__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-bs__ntgt-usern.log,"{""simulation.bs_shared_net_fixed_target_n_target_mode"": ""per_user_n_targets"", ""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""bs_shared_net""}",per_user_n_targets,augmented_lagrangian,remaining_bits_weighted_sum_rate,precoder_net,bs_shared_net
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__obj-bitsw.yaml,upd-dir__loss-aug__obj-bitsw,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=direct_precoder,2026-07-05T00:13:14+03:00,2026-07-05T00:29:42+03:00,1053.5526840999955,0.305,0.037066666666666664,-0.0014666666666666647,87.84699453551914,0.4808743169399037,0.1316,0.01133333333333333,-0.0010666666666666672,91.38804457953394,0.8105369807497453,8.0,13.637861283802971,0.2509000250145821,-2.8372989989781154,6.586330521080994,1.1735273274144706,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_dir__dl_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_obj_bitsw__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__obj-bitsw.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder""}",,augmented_lagrangian,remaining_bits_weighted_sum_rate,direct_precoder,
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-plain__obj-bitsw.yaml,upd-dir__loss-plain__obj-bitsw,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=direct_precoder,2026-07-04T21:13:36+03:00,2026-07-04T23:02:52+03:00,6606.990077399998,0.06333333333333334,0.03846666666666666,0.0,39.26315789473686,0.0,0.020000000000000004,0.022000000000000002,0.0,-9.99999999999999,0.0,8.0,13.65922336399926,0.0,-3.990511281333063,6.006987528955052,0.0,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_dir__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_plain_obj_bitsw__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-plain__obj-bitsw.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder""}",,plain_lagrangian,remaining_bits_weighted_sum_rate,direct_precoder,
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__obj-bitsw.yaml,upd-dir__loss-plain__obj-bitsw,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=direct_precoder,2026-07-05T00:04:59+03:00,2026-07-05T00:15:03+03:00,648.7514226000058,0.305,0.03866666666666667,0.00013333333333333947,87.3224043715847,-0.04371584699454445,0.1316,0.012266666666666662,-0.000133333333333336,90.67882472137792,0.10131712259372705,8.0,13.564040379153441,0.17707912036505213,-2.8372989989781154,4.881750912158804,-0.5310522815077192,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_dir__dl_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_obj_bitsw__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__obj-bitsw.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder""}",,plain_lagrangian,remaining_bits_weighted_sum_rate,direct_precoder,
