status,returncode,link,method,scenario_mode,base_config_name,generated_config_name,decision_tag,is_base_configuration,seed,train_seeds,highlighted_configuration,run_started_at_local,run_completed_at_local,duration_seconds,initial_total_latency,final_total_latency,delta_final_total_latency_vs_base,total_latency_reduction_percent,delta_total_latency_reduction_percent_vs_base,initial_asynchronality_sum,final_asynchronality_sum,delta_final_asynchronality_sum_vs_base,asynchronality_reduction_percent,delta_asynchronality_reduction_percent_vs_base,initial_avg_snr_db,final_avg_snr_db,delta_final_avg_snr_db_vs_base,initial_avg_sinr_db,final_avg_sinr_db,delta_final_avg_sinr_db_vs_base,total_served_bits,delta_total_served_bits_vs_base,total_skipped_blocks,delta_total_skipped_blocks_vs_base,total_target_bits,total_unserved_bits,training_solve_status,epochs_completed,last_epoch_feasible_rollout_queries,last_epoch_total_rollout_queries,last_epoch_feasible_rollout_fraction,result_json_path,log_path,effective_decisions_json,decision__simulation__constraint_loss_form,decision__simulation__convergence_block_objective_mode,decision__simulation__convergence_precoder_update_mode,decision__simulation__uplink_rate_model
completed,0,uplink,convergence,payload_completion,uplink_payload_completion.yaml,ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.yaml,upd-dir__loss-aug__rate-snr,False,3,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=snr,2026-07-04T21:11:04+03:00,2026-07-04T21:12:20+03:00,156.12354430000414,0.030733333333333335,0.02466666666666667,0.0,19.73969631236442,0.0,0.01666666666666667,0.015333333333333334,0.0,8.000000000000012,0.0,8.107807951499426,8.297922805649929,-0.07529628116675191,-3.3938913850276786,-3.373182097227485,-0.11478707746594141,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder"", ""simulation.uplink_rate_model"": ""snr""}",augmented_lagrangian,,direct_precoder,snr
completed,0,uplink,convergence,payload_completion,uplink_payload_completion.yaml,ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__rate-snr.yaml,upd-dir__loss-plain__rate-snr,False,3,,constraint_loss_form=plain_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=snr,2026-07-04T21:10:46+03:00,2026-07-04T21:11:51+03:00,150.87314160000824,0.030733333333333335,0.02466666666666667,0.0,19.73969631236442,0.0,0.01666666666666667,0.015333333333333334,0.0,8.000000000000012,0.0,8.107807951499426,8.299587803811717,-0.07363128300496413,-3.3938913850276786,-3.373139574950167,-0.11474455518862348,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__rate-snr.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder"", ""simulation.uplink_rate_model"": ""snr""}",plain_lagrangian,,direct_precoder,snr
completed,0,uplink,convergence,fixed_block_targets,uplink_fixed_block_targets.yaml,ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.yaml,upd-dir__loss-aug__rate-snr,False,3,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=snr,2026-07-04T21:03:11+03:00,2026-07-04T21:05:37+03:00,259.64371960000426,0.033133333333333334,0.027333333333333334,0.0,17.505030181086518,0.0,0.018133333333333335,0.016266666666666665,0.0,10.294117647058837,0.0,8.247380390879659,8.3202115953422,-0.07257764967075175,-3.3488066206522675,-3.3366520628221834,-0.007119903220083046,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder"", ""simulation.uplink_rate_model"": ""snr""}",augmented_lagrangian,,direct_precoder,snr
completed,0,uplink,convergence,fixed_block_targets,uplink_fixed_block_targets.yaml,ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-plain__rate-snr.yaml,upd-dir__loss-plain__rate-snr,False,3,,constraint_loss_form=plain_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=snr,2026-07-04T21:03:11+03:00,2026-07-04T21:05:32+03:00,255.34139010000217,0.033133333333333334,0.027333333333333334,0.0,17.505030181086518,0.0,0.018133333333333335,0.016266666666666665,0.0,10.294117647058837,0.0,8.247380390879659,8.320323267286659,-0.07246597772629215,-3.3488066206522675,-3.336644328963717,-0.007112169361616516,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-plain__rate-snr.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder"", ""simulation.uplink_rate_model"": ""snr""}",plain_lagrangian,,direct_precoder,snr
completed,0,uplink,convergence,payload_completion,uplink_payload_completion.yaml,ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-sinr.yaml,upd-dir__loss-aug__rate-sinr,False,3,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=sinr,2026-07-04T21:11:11+03:00,2026-07-04T21:12:24+03:00,150.68591999998898,0.03746666666666666,0.03166666666666666,0.006999999999999992,15.480427046263346,-4.259269266101073,0.021599999999999994,0.020399999999999995,0.00506666666666666,5.555555555555555,-2.444444444444457,8.200785299474761,8.331515488544657,-0.04170359827202397,-3.3431416475112745,-3.3104415762666957,-0.052046556505152,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_sinr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-sinr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder"", ""simulation.uplink_rate_model"": ""sinr""}",augmented_lagrangian,,direct_precoder,sinr
completed,0,uplink,convergence,payload_completion,uplink_payload_completion.yaml,ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__rate-sinr.yaml,upd-dir__loss-plain__rate-sinr,False,3,,constraint_loss_form=plain_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=sinr,2026-07-04T21:11:03+03:00,2026-07-04T21:12:08+03:00,149.85835580001003,0.03746666666666666,0.031733333333333336,0.0070666666666666655,15.302491103202831,-4.437205209161588,0.021599999999999994,0.020399999999999995,0.00506666666666666,5.555555555555555,-2.444444444444457,8.200785299474761,8.2882806200836,-0.08493846673307992,-3.3431416475112745,-3.3349624000772202,-0.07656738031567656,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_sinr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__rate-sinr.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder"", ""simulation.uplink_rate_model"": ""sinr""}",plain_lagrangian,,direct_precoder,sinr
completed,0,uplink,convergence,fixed_block_targets,uplink_fixed_block_targets.yaml,ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-sinr.yaml,upd-dir__loss-aug__rate-sinr,False,3,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=sinr,2026-07-04T21:03:11+03:00,2026-07-04T21:05:20+03:00,244.16230760001054,0.041466666666666666,0.0354,0.008066666666666666,14.630225080385847,-2.874805100700671,0.022933333333333337,0.022400000000000003,0.006133333333333338,2.325581395348838,-7.968536251709999,8.203103151217476,8.472541251209163,0.07975200619621248,-3.3388674690187776,-3.320438931832348,0.00909322776975241,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_sinr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-sinr.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder"", ""simulation.uplink_rate_model"": ""sinr""}",augmented_lagrangian,,direct_precoder,sinr
completed,0,uplink,convergence,fixed_block_targets,uplink_fixed_block_targets.yaml,ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-plain__rate-sinr.yaml,upd-dir__loss-plain__rate-sinr,False,3,,constraint_loss_form=plain_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=sinr,2026-07-04T21:03:11+03:00,2026-07-04T21:05:16+03:00,242.30160329998762,0.041466666666666666,0.0354,0.008066666666666666,14.630225080385847,-2.874805100700671,0.022933333333333337,0.022400000000000003,0.006133333333333338,2.325581395348838,-7.968536251709999,8.203103151217476,8.47237380074588,0.07958455573292866,-3.3388674690187776,-3.3204483821617092,0.009083777440391128,6000,0.0,0,0.0,6000,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_plain_rate_sinr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-plain__rate-sinr.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder"", ""simulation.uplink_rate_model"": ""sinr""}",plain_lagrangian,,direct_precoder,sinr
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__obj-blend.yaml,upd-dir__loss-plain__obj-blend,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=direct_precoder,2026-07-05T00:06:31+03:00,2026-07-05T00:31:24+03:00,1565.6826894999977,0.305,0.0364,-0.0021333333333333274,88.06557377049181,0.6994535519125691,0.1316,0.012,-0.0003999999999999976,90.88145896656535,0.3039513677811527,8.0,13.197919848346833,-0.18904141044155587,-2.8372989989781154,5.460236640498575,0.047433446832052084,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_dir__dl_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_obj_blend__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__obj-blend.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder""}",plain_lagrangian,blended_network_rate,direct_precoder,
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__obj-sum.yaml,upd-dir__loss-plain__obj-sum,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=unweighted_sum_rate; convergence_precoder_update_mode=direct_precoder,2026-07-05T00:01:25+03:00,2026-07-05T00:23:04+03:00,1342.4831394000066,0.305,0.0364,-0.0021333333333333274,88.06557377049181,0.6994535519125691,0.1316,0.011866666666666664,-0.0005333333333333336,90.98277608915907,0.4052684903748798,8.0,13.311788094404266,-0.07517316438412358,-2.8372989989781154,5.400727836820973,-0.012075356845549834,6000,0.0,0,0.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_sum_dir__dl_payload_completion_sweep_20260704_210305_conv_upd_dir_loss_plain_obj_sum__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-dir__loss-plain__obj-sum.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""unweighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""direct_precoder""}",plain_lagrangian,unweighted_sum_rate,direct_precoder,
