status,returncode,link,method,scenario_mode,base_config_name,generated_config_name,decision_tag,is_base_configuration,seed,train_seeds,highlighted_configuration,run_started_at_local,run_completed_at_local,duration_seconds,initial_total_latency,final_total_latency,delta_final_total_latency_vs_base,total_latency_reduction_percent,delta_total_latency_reduction_percent_vs_base,initial_asynchronality_sum,final_asynchronality_sum,delta_final_asynchronality_sum_vs_base,asynchronality_reduction_percent,delta_asynchronality_reduction_percent_vs_base,initial_avg_snr_db,final_avg_snr_db,delta_final_avg_snr_db_vs_base,initial_avg_sinr_db,final_avg_sinr_db,delta_final_avg_sinr_db_vs_base,total_served_bits,delta_total_served_bits_vs_base,total_skipped_blocks,delta_total_skipped_blocks_vs_base,total_target_bits,total_unserved_bits,training_solve_status,epochs_completed,last_epoch_feasible_rollout_queries,last_epoch_total_rollout_queries,last_epoch_feasible_rollout_fraction,result_json_path,log_path,effective_decisions_json,decision__simulation__constraint_loss_form,decision__simulation__convergence_block_objective_mode,decision__simulation__convergence_precoder_update_mode,decision__simulation__downlink_precoder_net_scope
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-user.yaml,upd-net__loss-aug__obj-bitsw__scope-user,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-05T00:45:48+03:00,2026-07-05T01:11:24+03:00,1603.587214900006,0.305,0.035,-0.003533333333333326,88.52459016393443,1.1584699453551934,0.1316,0.007466666666666667,-0.004933333333333331,94.32624113475178,3.748733535967588,8.0,14.296262260116286,0.909301001327897,-2.8372989989781154,12.70395464209093,7.291151448424406,6000,0.0,3,3.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_user_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_obj_bitsw_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-user.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",augmented_lagrangian,remaining_bits_weighted_sum_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-sum__scope-user.yaml,upd-net__loss-aug__obj-sum__scope-user,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=unweighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-05T00:33:00+03:00,2026-07-05T01:03:15+03:00,1896.7277992000018,0.305,0.0352,-0.003333333333333327,88.45901639344262,1.0928961748633839,0.1316,0.008133333333333333,-0.004266666666666665,93.81965552178319,3.2421479229989956,8.0,14.210020796214893,0.823059537426504,-2.8372989989781154,13.102180986575954,7.689377792909431,6000,0.0,3,3.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_sum_user_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_obj_sum_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-sum__scope-user.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""unweighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",augmented_lagrangian,unweighted_sum_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-user.yaml,upd-net__loss-aug__obj-blend__scope-user,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-05T00:52:18+03:00,2026-07-05T01:20:54+03:00,1774.9396882,0.305,0.03526666666666667,-0.0032666666666666608,88.43715846994536,1.0710382513661187,0.1316,0.008,-0.004399999999999998,93.9209726443769,3.3434650455927084,8.0,14.274583582129958,0.887622323341569,-2.8372989989781154,12.413832284697735,7.001029091031212,6000,0.0,3,3.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_user_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_aug_obj_blend_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-user.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",augmented_lagrangian,blended_network_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-sum__scope-user.yaml,upd-net__loss-plain__obj-sum__scope-user,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=unweighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-05T00:23:52+03:00,2026-07-05T00:44:56+03:00,1328.0033359999943,0.305,0.036866666666666666,-0.0016666666666666635,87.91256830601093,0.5464480874316848,0.1316,0.0070666666666666655,-0.005333333333333332,94.63019250253294,4.052684903748741,8.0,14.196887005795915,0.8099257470075258,-2.8372989989781154,11.370907805941199,5.958104612274676,6000,0.0,3,3.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_sum_user_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_obj_sum_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-sum__scope-user.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""unweighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",plain_lagrangian,unweighted_sum_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-user.yaml,upd-net__loss-plain__obj-blend__scope-user,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-05T00:27:11+03:00,2026-07-05T00:51:17+03:00,1508.6989427999943,0.305,0.037333333333333336,-0.0011999999999999927,87.75956284153006,0.3934426229508148,0.1316,0.005066666666666667,-0.007333333333333331,96.1499493414387,5.5724417426545045,8.0,14.371253168863609,0.9842919100752194,-2.8372989989781154,10.692750618752886,5.2799474250863625,6000,0.0,3,3.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_user_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-user.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",plain_lagrangian,blended_network_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,payload_completion,downlink_payload_completion.yaml,dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-bitsw__scope-user.yaml,upd-net__loss-plain__obj-bitsw__scope-user,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-05T00:25:56+03:00,2026-07-05T00:44:35+03:00,1185.6795711000013,0.305,0.04026666666666667,0.0017333333333333437,86.79781420765028,-0.5683060109289642,0.1316,0.013466666666666668,0.0010666666666666706,89.76697061803445,-0.8105369807497453,8.0,15.321044892785423,1.9340836339970338,-2.8372989989781154,18.624028281977857,13.211225088311334,6000,0.0,6,6.0,0,0,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_user_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_obj_bitsw_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-bitsw__scope-user.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",plain_lagrangian,remaining_bits_weighted_sum_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-user.yaml,upd-net__loss-aug__obj-blend__scope-user,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-04T23:37:45+03:00,2026-07-05T00:10:17+03:00,1990.7732159000007,0.06333333333333334,0.0412,0.0027333333333333376,34.94736842105264,-4.3157894736842195,0.020000000000000004,0.016,-0.006000000000000002,20.000000000000014,30.000000000000004,8.0,-89.75163492971147,-103.41085829371073,-3.990511281333063,10.583577385374904,4.576589856419852,5000,-1000.0,5,5.0,6000,1000,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_user_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_aug_obj_blend_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-blend__scope-user.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",augmented_lagrangian,blended_network_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-user.yaml,upd-net__loss-aug__obj-bitsw__scope-user,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=remaining_bits_weighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-04T23:23:21+03:00,2026-07-04T23:52:38+03:00,1814.3184708000044,0.06333333333333334,0.0414,0.0029333333333333364,34.63157894736843,-4.631578947368425,0.020000000000000004,0.015866666666666668,-0.006133333333333334,20.66666666666668,30.666666666666668,8.0,-89.75497352735346,-103.41419689135272,-3.990511281333063,10.543571345036112,4.53658381608106,5000,-1000.0,5,5.0,6000,1000,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_bitsw_user_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_aug_obj_bitsw_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-bitsw__scope-user.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""remaining_bits_weighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",augmented_lagrangian,remaining_bits_weighted_sum_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-sum__scope-user.yaml,upd-net__loss-aug__obj-sum__scope-user,False,3,,constraint_loss_form=augmented_lagrangian; convergence_block_objective_mode=unweighted_sum_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-04T23:03:44+03:00,2026-07-04T23:33:19+03:00,1820.8276236999955,0.06333333333333334,0.0414,0.0029333333333333364,34.63157894736843,-4.631578947368425,0.020000000000000004,0.015866666666666668,-0.006133333333333334,20.66666666666668,30.666666666666668,8.0,-89.75497352735346,-103.41419689135272,-3.990511281333063,10.543571345036112,4.53658381608106,5000,-1000.0,5,5.0,6000,1000,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_sum_user_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_aug_obj_sum_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-aug__obj-sum__scope-user.log,"{""simulation.constraint_loss_form"": ""augmented_lagrangian"", ""simulation.convergence_block_objective_mode"": ""unweighted_sum_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",augmented_lagrangian,unweighted_sum_rate,precoder_net,per_user_nets
completed,0,downlink,convergence,fixed_block_targets,downlink_fixed_block_targets.yaml,dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-user.yaml,upd-net__loss-plain__obj-blend__scope-user,False,3,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=per_user_nets,2026-07-04T23:01:29+03:00,2026-07-04T23:22:37+03:00,1308.3357523999875,0.06333333333333334,0.049600000000000005,0.011133333333333342,21.684210526315788,-17.57894736842107,0.020000000000000004,0.005066666666666667,-0.016933333333333335,74.66666666666667,84.66666666666666,8.0,-89.86544689951434,-103.5246702635136,-3.990511281333063,7.7615669051794995,1.7545793762244477,4898,-1102.0,5,5.0,6000,1102,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_user_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-user.log,"{""simulation.constraint_loss_form"": ""plain_lagrangian"", ""simulation.convergence_block_objective_mode"": ""blended_network_rate"", ""simulation.convergence_precoder_update_mode"": ""precoder_net"", ""simulation.downlink_precoder_net_scope"": ""per_user_nets""}",plain_lagrangian,blended_network_rate,precoder_net,per_user_nets
