status,returncode,link,method,scenario_mode,base_config_name,generated_config_name,decision_tag,is_base_configuration,seed,train_seeds,highlighted_configuration,run_started_at_local,run_completed_at_local,duration_seconds,initial_total_latency,final_total_latency,delta_final_total_latency_vs_base,total_latency_reduction_percent,delta_total_latency_reduction_percent_vs_base,initial_asynchronality_sum,final_asynchronality_sum,delta_final_asynchronality_sum_vs_base,asynchronality_reduction_percent,delta_asynchronality_reduction_percent_vs_base,initial_avg_snr_db,final_avg_snr_db,delta_final_avg_snr_db_vs_base,initial_avg_sinr_db,final_avg_sinr_db,delta_final_avg_sinr_db_vs_base,total_served_bits,delta_total_served_bits_vs_base,total_skipped_blocks,delta_total_skipped_blocks_vs_base,total_target_bits,total_unserved_bits,training_solve_status,epochs_completed,last_epoch_feasible_rollout_queries,last_epoch_total_rollout_queries,last_epoch_feasible_rollout_fraction,result_json_path,log_path,effective_decisions_json,selection_type
,,downlink,convergence,,downlink_fixed_block_targets.yaml,,upd-net__loss-plain__obj-blend__scope-bs__ntgt-jointn,,,,bs_shared_net_fixed_target_n_target_mode=shared_n_targets; constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,,,,,0.035666666666666666,,43.684210526315795,,,,,,,,,,,7.369500932086538,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_bs_ntgt_jointn__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs__ntgt-jointn.log,,best_final_total_latency
,,downlink,convergence,,downlink_fixed_block_targets.yaml,,upd-net__loss-plain__obj-blend__scope-bs__ntgt-jointn,,,,bs_shared_net_fixed_target_n_target_mode=shared_n_targets; constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,,,,,0.035666666666666666,,43.684210526315795,,,,,,,,,,,7.369500932086538,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_fixed_block_targets_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_bs_ntgt_jointn__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs__ntgt-jointn.log,,best_latency_reduction_percent
,,downlink,convergence,,downlink_payload_completion.yaml,,upd-net__loss-plain__obj-blend__scope-bs,,,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,,,,,0.033666666666666664,,88.96174863387978,,,,,,,,,,,6.242237612451175,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_bs__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs.log,,best_final_total_latency
,,downlink,convergence,,downlink_payload_completion.yaml,,upd-net__loss-plain__obj-blend__scope-bs,,,,constraint_loss_form=plain_lagrangian; convergence_block_objective_mode=blended_network_rate; convergence_precoder_update_mode=precoder_net; downlink_precoder_net_scope=bs_shared_net,,,,,0.033666666666666664,,88.96174863387978,,,,,,,,,,,6.242237612451175,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Convergence per epoch\conv_blend_bs_net__dl_payload_completion_sweep_20260704_210305_conv_upd_net_loss_plain_obj_blend_scope_bs__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__conv__upd-net__loss-plain__obj-blend__scope-bs.log,,best_latency_reduction_percent
,,downlink,monte_carlo,,downlink_fixed_block_targets.yaml,,loss-aug__scope-bs__ntgt-jointn,,,,bs_shared_net_fixed_target_n_target_mode=shared_n_targets; constraint_loss_form=augmented_lagrangian; downlink_precoder_net_scope=bs_shared_net,,,,,0.06333333333333334,,0.0,,,,,,,,,,,-3.5285921924668626,,879,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Monte Carlo\mc_bs_jointn__dl_fixed_block_targets_sweep_20260704_210305_mc_loss_aug_scope_bs_ntgt_jointn__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__mc__loss-aug__scope-bs__ntgt-jointn.log,,best_final_total_latency
,,downlink,monte_carlo,,downlink_fixed_block_targets.yaml,,loss-aug__scope-bs__ntgt-jointn,,,,bs_shared_net_fixed_target_n_target_mode=shared_n_targets; constraint_loss_form=augmented_lagrangian; downlink_precoder_net_scope=bs_shared_net,,,,,0.06333333333333334,,0.0,,,,,,,,,,,-3.5285921924668626,,879,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Monte Carlo\mc_bs_jointn__dl_fixed_block_targets_sweep_20260704_210305_mc_loss_aug_scope_bs_ntgt_jointn__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_fixed_block_targets__sweep_20260704_210305__mc__loss-aug__scope-bs__ntgt-jointn.log,,best_latency_reduction_percent
,,downlink,monte_carlo,,downlink_payload_completion.yaml,,loss-aug__scope-user,,,,constraint_loss_form=augmented_lagrangian; downlink_precoder_net_scope=per_user_nets,,,,,0.1616,,47.01639344262295,,,,,,,,,,,1.1935327468302108,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Monte Carlo\mc_user__dl_payload_completion_sweep_20260704_210305_mc_loss_aug_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__mc__loss-aug__scope-user.log,,best_final_total_latency
,,downlink,monte_carlo,,downlink_payload_completion.yaml,,loss-aug__scope-user,,,,constraint_loss_form=augmented_lagrangian; downlink_precoder_net_scope=per_user_nets,,,,,0.1616,,47.01639344262295,,,,,,,,,,,1.1935327468302108,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Downlink\Method-Monte Carlo\mc_user__dl_payload_completion_sweep_20260704_210305_mc_loss_aug_scope_user__s3\testing\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\dl_payload_completion__sweep_20260704_210305__mc__loss-aug__scope-user.log,,best_latency_reduction_percent
,,uplink,convergence,,uplink_fixed_block_targets.yaml,,upd-dir__loss-aug__rate-snr,,,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=snr,,,,,0.027333333333333334,,17.505030181086518,,,,,,,,,,,-3.3366520628221834,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.log,,best_final_total_latency
,,uplink,convergence,,uplink_fixed_block_targets.yaml,,upd-dir__loss-aug__rate-snr,,,,constraint_loss_form=augmented_lagrangian; convergence_precoder_update_mode=direct_precoder; uplink_rate_model=snr,,,,,0.027333333333333334,,17.505030181086518,,,,,,,,,,,-3.3366520628221834,,6000,,,,,,,,,,,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Results\Uplink\Method-Convergence per epoch\conv_dir__ul_fixed_block_targets_sweep_20260704_210305_conv_upd_dir_loss_aug_rate_snr__s3\data\result.json,C:\All Codes\Taiwan_Internship\UL_UPLINK_DOWNLINK_MONTE_CARLO\Decision Sweep Runs\sweep_20260704_210305\logs\ul_fixed_block_targets__sweep_20260704_210305__conv__upd-dir__loss-aug__rate-snr.log,,best_latency_reduction_percent
